,media_goals_home,media_goals_away,asian_handicap1_1,asian_handicap1_2,odds_ah1,ah1_negativa,ah1_positiva,ah1_reembolso
370,2.9,3.3,-1.0,-1.0,1.825,False,False,True
373,3.0,2.0,0.0,0.5,1.9,False,False,True
374,2.0,2.375,-0.5,-0.5,1.925,True,False,False
375,2.2,1.75,0.0,-0.5,1.775,False,False,True
376,1.25,1.5,0.0,0.0,1.8,False,False,True
377,2.625,3.3,0.0,0.0,1.925,True,False,False
378,2.6,3.6,0.0,0.5,1.95,True,False,False
379,1.375,2.2,0.5,0.5,1.9,True,False,False
380,3.0,2.6,0.0,0.0,1.8,True,False,False
383,2.2,2.5,0.0,0.5,1.75,False,False,True
384,2.0,1.5,0.0,0.0,1.85,True,False,False
399,2.2,1.5,0.0,0.0,1.85,False,False,True
401,2.625,3.6,1.0,1.0,1.875,True,False,False
402,2.0,3.3,-0.5,-1.0,1.9,False,True,False
403,3.0,2.2,0.0,0.0,1.75,False,False,True
404,1.25,2.6,0.0,-0.5,1.95,True,False,False
405,2.8,2.1,-0.5,-1.0,1.9,True,False,False
406,2.2,1.0,-0.5,-1.0,1.9,False,True,False
407,2.0,2.5,0.0,0.0,1.9,True,False,False
408,1.375,1.5,0.0,0.5,1.9,False,True,False
411,2.7,1.0,-0.5,-1.0,1.775,True,False,False
412,2.8,2.7,0.0,0.0,1.8,True,False,False
413,2.2,3.0,0.0,0.0,1.875,False,False,True
414,1.8,2.1,0.0,0.0,1.825,True,False,False
415,2.5,2.7,0.5,1.0,1.8,False,False,True
416,2.7,3.2,0.0,0.0,1.75,False,True,False
423,2.7,2.7,0.0,0.0,1.825,True,False,False
424,2.5,1.0,0.0,0.0,1.85,False,True,False
425,2.2,2.1,-0.5,-0.5,1.85,False,True,False
426,2.8,3.0,0.0,0.0,1.875,False,True,False
434,1.8,2.2,0.0,0.0,1.825,False,False,True
435,2.4,2.5,0.0,0.5,1.925,False,True,False
439,3.0,2.3,0.0,-0.5,1.925,True,False,False
440,2.8,2.2,-0.5,-1.0,1.9,False,True,False
441,1.8,2.5,0.5,0.5,1.875,False,True,False
442,3.3,3.0,0.0,0.0,1.9,False,True,False
443,2.8,2.5,0.0,0.0,1.825,False,True,False
444,2.4,2.3,0.0,0.0,1.85,False,False,True
445,3.3,2.2,0.0,-0.5,1.775,False,True,False
446,3.0,2.5,0.0,0.0,1.95,False,True,False
447,2.8,2.7,-0.5,-0.5,1.9,False,True,False
448,1.8,2.0,0.0,-0.5,1.8,True,False,False
449,1.9,2.5,0.0,0.5,1.875,True,False,False
450,2.8,3.2,0.5,1.0,1.8,False,True,False
451,3.4,2.0,-0.5,-0.5,1.825,False,True,False
452,2.8,2.7,0.0,0.0,1.8,True,False,False
453,1.8,3.2,0.0,0.0,1.925,True,False,False
454,1.9,2.7,0.0,0.0,1.85,False,False,True
455,2.8,2.7,0.0,0.5,1.925,False,True,False
456,3.4,2.5,0.0,0.0,1.925,False,True,False
457,2.8,2.5,0.5,0.5,1.85,False,True,False
459,2.8,2.0,0.0,-0.5,1.825,False,True,False
460,3.4,2.7,-0.5,-1.0,1.9,False,True,False
461,1.9,3.2,1.0,1.0,1.8,False,False,True
462,1.8,2.5,0.0,0.0,1.85,False,False,True
463,3.4,2.7,0.0,0.0,1.825,False,True,False
464,2.8,2.0,0.0,0.0,1.875,False,True,False
465,1.8,2.7,0.0,-0.5,1.775,False,True,False
466,2.8,3.2,0.0,0.0,1.95,True,False,False
467,2.5,1.0,-0.5,-0.5,1.925,False,True,False
468,3.5,3.8,0.5,0.5,1.775,False,True,False
469,2.1,2.1,0.0,0.5,1.825,False,False,True
470,2.6,2.5,0.0,0.5,1.875,False,False,True
471,2.4,1.7,-0.5,-0.5,1.875,True,False,False
472,1.4,1.8,0.5,0.5,1.925,True,False,False
473,2.2,2.7,0.0,0.0,1.75,True,False,False
474,2.3,1.5,0.0,-0.5,1.95,False,False,True
475,2.3,3.8,0.5,0.5,1.825,False,True,False
476,2.5,1.8,0.5,0.5,1.825,False,True,False
477,1.6,2.5,0.5,0.5,1.775,True,False,False
478,2.1,2.6,0.0,-0.5,1.925,False,True,False
479,3.5,1.8,0.0,-0.5,1.925,False,True,False
480,2.4,1.0,-1.0,-1.5,1.9,False,False,True
