id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd,event_day
172179350,11230449,11230448,3.0,7.0,10.0,1.071,7.500,2.5,20250330
172179352,11224616,11257946,3.0,2.0,5.0,1.111,6.000,2.5,20250330
172179355,11224521,11230480,3.0,6.0,9.0,1.050,8.500,2.5,20250330
172179358,11230481,11242955,2.0,2.0,4.0,1.200,4.333,2.5,20250330
172179361,11242955,11224521,3.0,1.0,4.0,1.166,4.500,2.5,20250330
172179363,11230480,11257972,4.0,4.0,8.0,1.050,8.500,2.5,20250330
172179373,11257972,11242955,1.0,1.0,2.0,,,,20250330
172179377,11224521,11230481,1.0,1.0,2.0,1.125,5.500,2.5,20250330
172179381,11230481,11257972,0.0,1.0,1.0,1.083,7.000,2.5,20250330
172179383,11242955,11230480,0.0,1.0,1.0,1.125,5.500,2.5,20250330
172179390,11230480,11230481,3.0,3.0,6.0,1.062,8.000,2.5,20250330
172179399,11257972,11224521,1.0,1.0,2.0,1.100,6.500,2.5,20250330
172179407,11230480,11224521,2.0,2.0,4.0,1.071,7.500,2.5,20250330
172179411,11242955,11230481,1.0,2.0,3.0,1.222,4.000,2.5,20250330
172179416,11224521,11242955,2.0,2.0,4.0,1.142,5.000,2.5,20250330
172179418,11257972,11230480,4.0,2.0,6.0,1.050,8.500,2.5,20250330
172179421,11242955,11257972,4.0,6.0,10.0,1.111,6.000,2.5,20250330
172179425,11230481,11224521,0.0,0.0,0.0,1.166,4.500,2.5,20250330
172179427,11257972,11230481,2.0,4.0,6.0,1.083,7.000,2.5,20250330
172179438,11230480,11242955,3.0,1.0,4.0,1.083,7.000,2.5,20250330
172179444,11230481,11230480,1.0,6.0,7.0,,,,20250330
172179448,11224521,11257972,1.0,1.0,2.0,,,,20250330
172179451,11258006,11222369,1.0,5.0,6.0,,,,20250330
172179457,11230614,11242989,1.0,1.0,2.0,,,,20250330
172179464,11242989,11258006,3.0,4.0,7.0,1.142,5.000,2.5,20250330
172179470,11222369,11258007,1.0,6.0,7.0,1.050,8.500,2.5,20250330
172179473,11258007,11242989,4.0,4.0,8.0,1.111,6.000,2.5,20250330
172179475,11258006,11230614,3.0,2.0,5.0,1.200,4.333,2.5,20250330
172179477,11230614,11258007,1.0,1.0,2.0,1.062,8.000,2.5,20250330
172179479,11242989,11222369,1.0,5.0,6.0,1.062,8.000,2.5,20250330
172179481,11222369,11230614,1.0,2.0,3.0,1.062,8.000,2.5,20250330
172179484,11258007,11258006,2.0,6.0,8.0,1.100,6.500,2.5,20250330
172179489,11222369,11258006,4.0,8.0,12.0,1.083,7.000,2.5,20250330
172179498,11242989,11230614,1.0,1.0,2.0,1.200,4.333,2.5,20250330
172179501,11258006,11242989,3.0,2.0,5.0,1.166,4.500,2.5,20250330
172179504,11258007,11222369,5.0,5.0,10.0,1.040,9.000,2.5,20250330
172179506,11242989,11258007,2.0,4.0,6.0,1.083,7.000,2.5,20250330
172179513,11230614,11258006,0.0,3.0,3.0,1.200,4.333,2.5,20250330
172179518,11258007,11230614,1.0,0.0,1.0,1.083,7.000,2.5,20250330
172179520,11222369,11242989,2.0,3.0,5.0,1.062,8.000,2.5,20250330
172179524,11230614,11222369,,,,,,,20250330
172179527,11258006,11258007,,,,,,,20250330
172219870,11241456,11243855,0.0,1.0,1.0,,,,20250330
172219872,11252934,11247740,2.0,0.0,2.0,,,,20250330
172219875,11247740,11241456,2.0,3.0,5.0,1.111,6.000,2.5,20250330
172219878,11243855,11241454,1.0,1.0,2.0,1.166,4.500,2.5,20250330
172219881,11241454,11247740,0.0,0.0,0.0,1.040,9.000,2.5,20250330
172219884,11241456,11252934,0.0,0.0,0.0,1.222,4.000,2.5,20250330
172219905,11247740,11243855,5.0,3.0,8.0,,,,20250330
172219893,11252934,11241454,0.0,3.0,3.0,,,,20250330
172219912,11241454,11241456,1.0,1.0,2.0,1.111,6.000,2.5,20250330
172219909,11243855,11252934,4.0,0.0,4.0,1.166,4.500,2.5,20250330
172219916,11243855,11241456,2.0,4.0,6.0,,,,20250330
172219918,11247740,11252934,1.0,6.0,7.0,,,,20250330
172219923,11241456,11247740,1.0,3.0,4.0,,,,20250330
172219925,11241454,11243855,1.0,2.0,3.0,1.166,4.500,2.5,20250330
172219929,11247740,11241454,0.0,2.0,2.0,1.040,9.000,2.5,20250330
172219931,11252934,11241456,1.0,1.0,2.0,1.222,4.000,2.5,20250330
172219934,11241454,11252934,0.0,3.0,3.0,1.125,5.500,2.5,20250330
172219937,11243855,11247740,1.0,4.0,5.0,1.125,5.500,2.5,20250330
172219940,11252934,11243855,4.0,2.0,6.0,1.166,4.500,2.5,20250330
172219943,11241456,11241454,1.0,2.0,3.0,1.083,7.000,2.5,20250330
172219963,11254790,11247819,2.0,2.0,4.0,1.062,8.000,2.5,20250330
172219955,11241480,11243909,1.0,2.0,3.0,1.200,4.333,2.5,20250330
172219965,11247819,11241480,1.0,1.0,2.0,1.100,6.500,2.5,20250330
172219969,11243909,11241482,0.0,0.0,0.0,1.166,4.500,2.5,20250330
172219971,11241482,11247819,0.0,1.0,1.0,1.040,9.000,2.5,20250330
172219975,11241480,11254790,1.0,0.0,1.0,1.200,4.333,2.5,20250330
172219980,11247819,11243909,1.0,5.0,6.0,1.100,6.500,2.5,20250330
172219977,11254790,11241482,3.0,1.0,4.0,1.111,6.000,2.5,20250330
172219982,11243909,11254790,4.0,2.0,6.0,1.166,4.500,2.5,20250330
172219984,11241482,11241480,0.0,3.0,3.0,1.111,6.000,2.5,20250330
172219987,11243909,11241480,0.0,2.0,2.0,1.250,3.750,2.5,20250330
172219992,11247819,11254790,2.0,0.0,2.0,1.071,7.500,2.5,20250330
172219994,11241480,11247819,3.0,5.0,8.0,1.083,7.000,2.5,20250330
172220004,11241482,11243909,3.0,2.0,5.0,1.166,4.500,2.5,20250330
172220016,11247819,11241482,1.0,1.0,2.0,1.030,10.000,2.5,20250330
172220025,11254790,11241480,7.0,3.0,10.0,1.166,4.500,2.5,20250330
172220029,11241482,11254790,1.0,0.0,1.0,1.142,5.000,2.5,20250330
172220033,11243909,11247819,3.0,1.0,4.0,1.083,7.000,2.5,20250330
172220037,11254790,11243909,3.0,3.0,6.0,1.125,5.500,2.5,20250330
172220040,11241480,11241482,0.0,0.0,0.0,1.142,5.000,2.5,20250330
172220042,11241233,11243498,1.0,1.0,2.0,1.300,3.400,2.5,20250330
172220044,11252230,11247843,5.0,1.0,6.0,1.071,7.500,2.5,20250330
172220046,11247843,11241233,3.0,2.0,5.0,1.083,7.000,2.5,20250330
172220049,11243498,11241504,2.0,4.0,6.0,1.142,5.000,2.5,20250330
172220053,11241504,11247843,3.0,3.0,6.0,1.050,8.500,2.5,20250330
172220056,11241233,11252230,0.0,2.0,2.0,1.166,4.500,2.5,20250330
172220059,11252230,11241504,3.0,3.0,6.0,1.200,4.333,2.5,20250330
172220071,11247843,11243498,2.0,2.0,4.0,1.071,7.500,2.5,20250330
172220080,11243498,11252230,1.0,3.0,4.0,1.125,5.500,2.5,20250330
172220085,11241504,11241233,2.0,2.0,4.0,1.142,5.000,2.5,20250330
172220087,11243498,11241233,2.0,1.0,3.0,1.333,3.250,2.5,20250330
172220091,11247843,11252230,2.0,1.0,3.0,1.083,7.000,2.5,20250330
172220100,11241233,11247843,1.0,5.0,6.0,1.083,7.000,2.5,20250330
172220103,11241504,11243498,3.0,0.0,3.0,1.125,5.500,2.5,20250330
172220106,11247843,11241504,2.0,2.0,4.0,1.050,8.500,2.5,20250330
172220108,11252230,11241233,1.0,1.0,2.0,1.222,4.000,2.5,20250330
172220112,11241504,11252230,4.0,4.0,8.0,1.166,4.500,2.5,20250330
172220115,11243498,11247843,2.0,4.0,6.0,1.083,7.000,2.5,20250330
172220118,11252230,11243498,4.0,4.0,8.0,1.200,4.333,2.5,20250330
172220120,11241233,11241504,3.0,2.0,5.0,1.142,5.000,2.5,20250330
172221639,11227747,11227215,2.0,2.0,4.0,1.142,5.000,2.5,20250330
172221642,11226186,11226639,3.0,4.0,7.0,1.142,5.000,2.5,20250330
172221644,11226639,11227747,1.0,5.0,6.0,1.062,8.000,2.5,20250330
