,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,classificacao_ah1,classificacao_ah2,ah1_positivo,ah1_negativo,ah1_reembolso,ah1_indefinido,ah2_positivo,ah2_negativo,ah2_reembolso,ah2_indefinido,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,gl1_indefinido,gl1_negativo,gl1_positivo,gl1_reembolso,gl2_indefinido,gl2_negativo,gl2_positivo,gl2_reembolso,res_double_chance1,res_double_chance2,res_double_chance3,dnb1_ganha,dnb1_indefinido,dnb1_perde,dnb1_reembolso,dnb2_ganha,dnb2_indefinido,dnb2_perde,dnb2_reembolso
453,173519562,11241463,11240764,4.0,4.0,8.0,2.5,1.071,7.500,0.0,1,1.850,0.0,2,1.850,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,Real Madrid (Glumac) or Draw,1.500,Draw or PSG (arch),1.500,Real Madrid (Glumac) or PSG (arch),1.200,1,1.833,2,1.833,20250424,,,,,,,,True,0.0,0.0,0.0,0.0,0.0,reembolso,reembolso,False,False,True,False,False,False,True,False,5.0,5.5,5.0,5.5,False,False,True,False,False,True,False,False,1,1,0,False,False,False,True,False,False,False,True
454,173519571,11243854,11268694,6.0,1.0,7.0,2.5,1.050,8.500,0.0,1,1.750,0.0,2,1.950,"5.5, 6.0",1.0,1.800,"5.5, 6.0",2.0,1.900,Boca Juniors (Maslja) or Draw,1.444,Draw or River Plate (Steksy),1.550,Boca Juniors (Maslja) or River Plate (Steksy),1.181,1,1.727,2,2.000,20250424,,,,,,,,True,0.0,0.0,0.0,0.0,5.0,positivo,negativo,True,False,False,False,False,True,False,False,5.5,6.0,5.5,6.0,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
455,173519567,11240764,11248174,0.0,3.0,3.0,2.5,1.083,7.000,+0.5,1,1.850,-0.5,2,1.850,5.0,1.0,1.800,5.0,2.0,1.900,PSG (arch) or Draw,1.800,Draw or Man City (Hyper),1.285,PSG (arch) or Man City (Hyper),1.166,1,2.500,2,1.500,20250424,,,,,,,,True,0.5,0.5,-0.5,-0.5,-3.0,negativo,positivo,False,True,False,False,True,False,False,False,5.0,5.0,5.0,5.0,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
456,173519577,11268694,11240764,4.0,4.0,8.0,2.5,1.125,5.500,"0.0, -0.5",1,1.875,"0.0, +0.5",2,1.825,"4.5, 5.0",1.0,1.850,"4.5, 5.0",2.0,1.850,River Plate (Steksy) or Draw,1.444,Draw or PSG (arch),1.615,River Plate (Steksy) or PSG (arch),1.166,1,1.666,2,2.100,20250424,,,,,,,,True,0.0,-0.5,0.0,0.5,0.0,reembolso,reembolso,False,False,True,False,False,False,True,False,4.5,5.0,4.5,5.0,False,False,True,False,False,True,False,False,1,1,0,False,False,False,True,False,False,False,True
457,173519582,11248174,11241463,3.0,5.0,8.0,2.5,1.050,8.500,-0.5,1,1.825,+0.5,2,1.875,"5.5, 6.0",1.0,1.900,"5.5, 6.0",2.0,1.800,Man City (Hyper) or Draw,1.285,Draw or Real Madrid (Glumac),1.833,Man City (Hyper) or Real Madrid (Glumac),1.166,1,1.444,2,2.625,20250424,,,,,,,,True,-0.5,-0.5,0.5,0.5,-2.0,negativo,positivo,False,True,False,False,True,False,False,False,5.5,6.0,5.5,6.0,False,False,True,False,False,True,False,False,0,1,1,False,False,True,False,True,False,False,False
458,173519590,11268694,11241463,6.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,4.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
459,173519595,11243854,11240764,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
460,173519608,11241463,11243854,5.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,4.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
461,173519622,11248174,11268694,4.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
462,173519634,11243854,11248174,4.0,3.0,7.0,2.5,1.050,8.500,,,,,,,,,,,,,Boca Juniors (Maslja) or Draw,1.600,Draw or Man City (Hyper),1.444,Boca Juniors (Maslja) or Man City (Hyper),1.125,1,2.000,2,1.727,20250424,,,,,,,,True,,,,,1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
463,173519641,11240764,11241463,5.0,4.0,9.0,2.5,1.071,7.500,,,,,,,,,,,,,PSG (arch) or Draw,1.500,Draw or Real Madrid (Glumac),1.500,PSG (arch) or Real Madrid (Glumac),1.200,1,1.833,2,1.833,20250424,,,,,,,,True,,,,,1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
464,173519648,11248174,11240764,4.0,2.0,6.0,2.5,1.111,6.000,-0.5,1,1.800,+0.5,2,1.900,5.0,1.0,1.925,5.0,2.0,1.775,Man City (Hyper) or Draw,1.250,Draw or PSG (arch),1.833,Man City (Hyper) or PSG (arch),1.166,1,1.444,2,2.625,20250424,,,,,,,,True,-0.5,-0.5,0.5,0.5,2.0,positivo,negativo,True,False,False,False,False,True,False,False,5.0,5.0,5.0,5.0,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
465,173519652,11268694,11243854,3.0,5.0,8.0,2.5,1.050,8.500,"0.0, +0.5",1,1.800,"0.0, -0.5",2,1.900,"5.5, 6.0",1.0,1.800,"5.5, 6.0",2.0,1.900,River Plate (Steksy) or Draw,1.571,Draw or Boca Juniors (Maslja),1.444,River Plate (Steksy) or Boca Juniors (Maslja),1.181,1,2.100,2,1.666,20250424,,,,,,,,True,0.0,0.5,0.0,-0.5,-2.0,negativo,positivo,False,True,False,False,True,False,False,False,5.5,6.0,5.5,6.0,False,False,True,False,False,True,False,False,0,1,1,False,False,True,False,True,False,False,False
466,173519655,11240764,11268694,0.0,3.0,3.0,2.5,1.100,6.500,,,,,,,,,,,,,PSG (arch) or Draw,1.600,Draw or River Plate (Steksy),1.444,PSG (arch) or River Plate (Steksy),1.142,1,2.000,2,1.727,20250424,,,,,,,,True,,,,,-3.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
467,173519657,11241463,11248174,3.0,6.0,9.0,2.5,1.040,9.000,,,,,,,,,,,,,Real Madrid (Glumac) or Draw,1.800,Draw or Man City (Hyper),1.333,Real Madrid (Glumac) or Man City (Hyper),1.142,1,2.250,2,1.571,20250424,,,,,,,,True,,,,,-3.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
468,173519660,11241484,11268737,1.0,3.0,4.0,2.5,1.062,8.000,,,,,,,,,,,,,Tottenham (Glumac) or Draw,1.666,Draw or Eintracht (Steksy),1.285,Tottenham (Glumac) or Eintracht (Steksy),1.250,1,2.375,2,1.533,20250424,,,,,,,,True,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
469,173519662,11240863,11243908,2.0,6.0,8.0,2.5,1.071,7.500,,,,,,,,,,,,,Roma (arch) or Draw,1.800,Draw or Fenerbahce (Maslja),1.285,Roma (arch) or Fenerbahce (Maslja),1.181,1,2.625,2,1.444,20250424,,,,,,,,True,,,,,-4.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
470,173519666,11243908,11241484,2.0,4.0,6.0,2.5,1.062,8.000,,,,,,,,,,,,,Fenerbahce (Maslja) or Draw,1.363,Draw or Tottenham (Glumac),1.600,Fenerbahce (Maslja) or Tottenham (Glumac),1.222,1,1.666,2,2.100,20250424,,,,,,,,True,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
471,173519670,11268737,11248252,1.0,3.0,4.0,2.5,1.050,8.500,,,,,,,,,,,,,Eintracht (Steksy) or Draw,1.600,Draw or Man Utd (Hyper),1.444,Eintracht (Steksy) or Man Utd (Hyper),1.125,1,2.000,2,1.727,20250424,,,,,,,,True,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
472,173519674,11248252,11243908,2.0,3.0,5.0,2.5,1.050,8.500,"0.0, -0.5",1,1.900,"0.0, +0.5",2,1.800,"5.5, 6.0",1.0,1.900,"5.5, 6.0",2.0,1.800,Man Utd (Hyper) or Draw,1.444,Draw or Fenerbahce (Maslja),1.600,Man Utd (Hyper) or Fenerbahce (Maslja),1.125,1,1.727,2,2.000,20250424,,,,,,,,True,0.0,-0.5,0.0,0.5,-1.0,negativo,positivo,False,True,False,False,True,False,False,False,5.5,6.0,5.5,6.0,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
473,173519680,11241484,11240863,3.0,4.0,7.0,2.5,1.071,7.500,0.0,1,1.850,0.0,2,1.850,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,Tottenham (Glumac) or Draw,1.500,Draw or Roma (arch),1.500,Tottenham (Glumac) or Roma (arch),1.200,1,1.909,2,1.800,20250424,,,,,,,,True,0.0,0.0,0.0,0.0,-1.0,negativo,positivo,False,True,False,False,True,False,False,False,5.0,5.5,5.0,5.5,False,False,True,False,False,True,False,False,0,1,1,False,False,True,False,True,False,False,False
474,173519694,11240863,11248252,1.0,2.0,3.0,2.5,1.100,6.500,+0.5,1,1.900,-0.5,2,1.800,5.0,1.0,1.850,5.0,2.0,1.850,Roma (arch) or Draw,1.833,Draw or Man Utd (Hyper),1.250,Roma (arch) or Man Utd (Hyper),1.166,1,2.625,2,1.444,20250424,,,,,,,,True,0.5,0.5,-0.5,-0.5,-1.0,negativo,positivo,False,True,False,False,True,False,False,False,5.0,5.0,5.0,5.0,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
475,173519700,11243908,11268737,2.0,3.0,5.0,2.5,1.040,9.000,"0.0, -0.5",1,1.925,"0.0, +0.5",2,1.775,6.0,1.0,1.850,6.0,2.0,1.850,Fenerbahce (Maslja) or Draw,1.444,Draw or Eintracht (Steksy),1.571,Fenerbahce (Maslja) or Eintracht (Steksy),1.166,1,1.727,2,2.000,20250424,,,,,,,,True,0.0,-0.5,0.0,0.5,-1.0,negativo,positivo,False,True,False,False,True,False,False,False,6.0,6.0,6.0,6.0,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
