,id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
299,172007716,11230369,11233974,1.0,6.0,7.0,1.1,6.5,2.5
300,172007859,11232199,11230372,2.0,5.0,7.0,1.166,4.5,2.5
301,172007864,11226255,11260654,3.0,0.0,3.0,1.2,4.333,2.5
302,172007720,11229841,11230369,1.0,0.0,1.0,1.1,6.5,2.5
303,172007725,11238597,11227783,3.0,7.0,10.0,1.111,6.0,2.5
306,172007881,11226255,11226681,1.0,1.0,2.0,1.2,4.333,2.5
307,172007886,11260654,11230372,1.0,4.0,5.0,1.142,5.0,2.5
308,172007729,11261484,11261065,3.0,3.0,6.0,1.1,6.5,2.5
309,172007735,11229900,11233978,1.0,2.0,3.0,1.05,8.5,2.5
310,172007888,11227265,11226253,1.0,1.0,2.0,1.142,5.0,2.5
311,172007892,11222748,11232214,2.0,2.0,4.0,1.333,3.25,2.5
312,172007749,11233978,11261484,7.0,2.0,9.0,1.062,8.0,2.5
313,172007755,11261065,11227798,2.0,1.0,3.0,1.166,4.5,2.5
314,172007895,11232214,11227265,4.0,4.0,8.0,1.285,3.5,2.5
315,172007898,11226253,11230380,5.0,5.0,10.0,1.142,5.0,2.5
316,172007762,11227798,11233978,3.0,4.0,7.0,1.1,6.5,2.5
317,172007767,11261484,11229900,1.0,3.0,4.0,1.062,8.0,2.5
318,172007902,11230380,11232214,1.0,0.0,1.0,1.142,5.0,2.5
319,172007913,11227265,11222748,1.0,2.0,3.0,1.166,4.5,2.5
320,172007775,11229900,11227798,2.0,1.0,3.0,1.111,6.0,2.5
321,172007786,11233978,11261065,1.0,3.0,4.0,1.083,7.0,2.5
324,172007794,11261065,11229900,1.0,1.0,2.0,1.166,4.5,2.5
325,172007800,11227798,11261484,2.0,6.0,8.0,1.125,5.5,2.5
326,172007927,11226253,11222748,2.0,2.0,4.0,1.166,4.5,2.5
327,172007934,11230380,11227265,2.0,0.0,2.0,1.1,6.5,2.5
328,172007805,11261065,11261484,3.0,2.0,5.0,1.1,6.5,2.5
329,172007811,11233978,11229900,2.0,4.0,6.0,1.071,7.5,2.5
330,172007944,11226253,11227265,3.0,3.0,6.0,1.166,4.5,2.5
331,172007956,11232214,11222748,1.0,1.0,2.0,1.3,3.4,2.5
332,172007816,11261484,11233978,2.0,4.0,6.0,1.04,9.0,2.5
333,172007821,11227798,11261065,3.0,2.0,5.0,1.166,4.5,2.5
334,172007961,11227265,11232214,1.0,3.0,4.0,1.25,3.75,2.5
335,172007969,11230380,11226253,0.0,0.0,0.0,1.166,4.5,2.5
336,172007826,11233978,11227798,3.0,2.0,5.0,1.1,6.5,2.5
337,172007834,11229900,11261484,2.0,2.0,4.0,1.071,7.5,2.5
338,172007972,11232214,11230380,3.0,1.0,4.0,1.222,4.0,2.5
339,172007979,11222748,11227265,3.0,6.0,9.0,1.166,4.5,2.5
340,172007845,11227798,11229900,2.0,5.0,7.0,1.125,5.5,2.5
341,172007850,11261065,11233978,2.0,3.0,5.0,1.1,6.5,2.5
342,172007984,11230380,11222748,3.0,2.0,5.0,1.2,4.333,2.5
343,172007989,11226253,11232214,4.0,3.0,7.0,1.142,5.0,2.5
344,172007855,11229900,11261065,2.0,3.0,5.0,1.2,4.333,2.5
345,172007862,11261484,11227798,2.0,4.0,6.0,1.142,5.0,2.5
346,172007997,11222748,11226253,1.0,2.0,3.0,1.222,4.0,2.5
347,172008011,11227265,11230380,3.0,2.0,5.0,1.1,6.5,2.5
348,172019722,11245844,11234591,3.0,1.0,4.0,1.071,7.5,2.5
349,172019724,11222813,11222811,1.0,2.0,3.0,1.062,8.0,2.5
350,172019726,11222811,11245844,3.0,4.0,7.0,1.062,8.0,2.5
351,172019729,11234591,11225796,2.0,2.0,4.0,1.2,4.333,2.5
352,172020203,11264801,11265417,2.0,2.0,4.0,1.363,3.0,2.5
353,172019731,11225796,11222811,1.0,4.0,5.0,1.1,6.5,2.5
354,172019741,11245844,11222813,3.0,7.0,10.0,1.083,7.0,2.5
355,172020206,11265417,11265418,2.0,2.0,4.0,1.083,7.0,2.5
356,172019743,11222813,11225796,5.0,4.0,9.0,1.125,5.5,2.5
357,172019745,11222811,11234591,5.0,5.0,10.0,1.142,5.0,2.5
358,172020208,11265419,11265417,3.0,1.0,4.0,1.125,5.5,2.5
359,172020212,11265418,11264801,2.0,2.0,4.0,1.2,4.333,2.5
360,172019748,11234591,11222813,3.0,3.0,6.0,1.1,6.5,2.5
361,172019752,11225796,11245844,3.0,4.0,7.0,1.071,7.5,2.5
362,172020214,11264801,11265419,3.0,2.0,5.0,1.222,4.0,2.5
363,172019759,11234591,11245844,3.0,3.0,6.0,1.083,7.0,2.5
364,172019762,11222811,11222813,2.0,0.0,2.0,1.062,8.0,2.5
365,172020217,11265419,11265418,4.0,3.0,7.0,1.125,5.5,2.5
366,172019764,11245844,11222811,1.0,2.0,3.0,1.062,8.0,2.5
367,172019768,11225796,11234591,2.0,0.0,2.0,1.2,4.333,2.5
368,172020219,11265417,11264801,2.0,2.0,4.0,1.333,3.25,2.5
369,172019770,11222811,11225796,4.0,3.0,7.0,1.1,6.5,2.5
370,172019773,11222813,11245844,1.0,4.0,5.0,1.05,8.5,2.5
371,172020222,11265418,11265417,3.0,2.0,5.0,1.062,8.0,2.5
375,172020235,11264801,11265418,2.0,2.0,4.0,1.125,5.5,2.5
376,172019783,11222813,11234591,3.0,2.0,5.0,1.1,6.5,2.5
378,172020237,11265419,11264801,1.0,1.0,2.0,1.2,4.333,2.5
