id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
172054716,11241243,11234472,1.0,1.0,2.0,1.500,2.500,2.5
172035667,11229119,11265277,2.0,3.0,5.0,,,
172035694,11243688,11237009,2.0,1.0,3.0,,,
172054725,11247616,11255982,0.0,1.0,1.0,,,
172054728,11230930,11234472,2.0,1.0,3.0,1.444,2.625,2.5
172035723,11229119,11237009,3.0,1.0,4.0,,,
172035757,11243688,11236928,2.0,5.0,7.0,1.040,9.000,2.5
172054730,11247616,11234472,2.0,2.0,4.0,,,
172054733,11255982,11241243,1.0,2.0,3.0,,,
172035783,11236928,11237009,2.0,2.0,4.0,1.142,5.000,2.5
172035819,11243688,11265277,0.0,1.0,1.0,1.111,6.000,2.5
172054736,11247616,11241243,4.0,2.0,6.0,1.250,3.750,2.5
172054738,11255982,11230930,0.0,0.0,0.0,1.850,1.950,2.5
172035846,11236928,11229119,2.0,2.0,4.0,1.125,5.500,2.5
172035885,11265277,11237009,3.0,3.0,6.0,1.333,3.250,2.5
172035932,11243688,11229119,3.0,1.0,4.0,1.333,3.250,2.5
172035969,11265277,11236928,4.0,3.0,7.0,1.050,8.500,2.5
172054740,11230930,11241243,5.0,1.0,6.0,1.400,2.750,2.5
172054742,11255982,11234472,2.0,2.0,4.0,1.700,2.100,2.5
172036005,11265277,11229119,2.0,1.0,3.0,1.250,3.750,2.5
172036050,11237009,11243688,4.0,2.0,6.0,1.285,3.500,2.5
172054745,11230930,11247616,0.0,3.0,3.0,1.444,2.625,2.5
172054754,11234472,11241243,1.0,2.0,3.0,1.500,2.500,2.5
172036081,11237009,11229119,4.0,0.0,4.0,1.533,2.375,2.5
172036115,11236928,11243688,3.0,4.0,7.0,1.040,9.000,2.5
172054756,11255982,11247616,1.0,1.0,2.0,1.571,2.350,2.5
172054758,11234472,11230930,0.0,3.0,3.0,1.400,2.750,2.5
172054760,11234472,11247616,0.0,1.0,1.0,1.444,2.625,2.5
172054764,11241243,11255982,3.0,0.0,3.0,1.500,2.500,2.5
172054770,11241243,11247616,1.0,2.0,3.0,1.250,3.750,2.5
172054776,11230930,11255982,2.0,1.0,3.0,1.850,1.950,2.5
172055121,11265329,11239845,2.0,2.0,4.0,1.040,9.000,2.5
172055125,11260694,11235170,1.0,1.0,2.0,1.142,5.000,2.5
172054778,11250372,11227803,1.0,2.0,3.0,1.363,3.000,2.5
172054780,11234412,11265330,0.0,2.0,2.0,1.650,2.200,2.5
172055139,11239349,11239845,1.0,2.0,3.0,1.142,5.000,2.5
172055144,11265329,11260694,4.0,5.0,9.0,1.015,12.000,2.5
172054782,11234331,11227803,3.0,2.0,5.0,1.444,2.625,2.5
172054784,11250372,11234412,1.0,2.0,3.0,1.444,2.625,2.5
172055149,11239349,11235170,1.0,3.0,4.0,1.083,7.000,2.5
172055154,11239845,11260694,1.0,4.0,5.0,1.166,4.500,2.5
172054787,11234331,11265330,2.0,0.0,2.0,1.800,2.000,2.5
172054789,11227803,11234412,2.0,3.0,5.0,1.444,2.625,2.5
172055163,11239349,11260694,1.0,1.0,2.0,1.030,10.000,2.5
172055171,11235170,11265329,4.0,4.0,8.0,1.040,9.000,2.5
172054791,11234331,11234412,1.0,3.0,4.0,1.650,2.200,2.5
172054800,11265330,11250372,1.0,2.0,3.0,1.500,2.500,2.5
172055180,11239349,11265329,5.0,5.0,10.0,1.012,13.000,2.5
172055187,11235170,11239845,2.0,1.0,3.0,1.400,2.750,2.5
172054805,11234331,11250372,2.0,3.0,5.0,,,
172054809,11265330,11227803,2.0,2.0,4.0,,,
172055192,11239845,11265329,2.0,2.0,4.0,,,
172055196,11235170,11260694,3.0,3.0,6.0,,,
172054811,11227803,11250372,2.0,4.0,6.0,1.333,3.250,2.5
172054815,11265330,11234412,2.0,1.0,3.0,1.800,2.000,2.5
172055203,11239845,11239349,0.0,2.0,2.0,1.125,5.500,2.5
172055207,11260694,11265329,3.0,3.0,6.0,1.012,13.000,2.5
172054821,11227803,11234331,0.0,0.0,0.0,1.444,2.625,2.5
172054832,11234412,11250372,1.0,2.0,3.0,1.500,2.500,2.5
172055213,11235170,11239349,2.0,5.0,7.0,1.083,7.000,2.5
172055218,11260694,11239845,2.0,1.0,3.0,1.100,6.500,2.5
172054836,11265330,11234331,,,,1.800,2.000,2.5
172054841,11234412,11227803,3.0,1.0,4.0,1.333,3.250,2.5
172055233,11260694,11239349,0.0,3.0,3.0,1.050,8.500,2.5
172055240,11265329,11235170,3.0,3.0,6.0,1.040,9.000,2.5
172054845,11250372,11265330,0.0,1.0,1.0,1.533,2.375,2.5
172055247,11265329,11239349,5.0,3.0,8.0,1.010,15.000,2.5
172055252,11239845,11235170,1.0,1.0,2.0,1.444,2.625,2.5
172054849,11227803,11265330,2.0,2.0,4.0,1.850,1.950,2.5
172055260,11239770,11265335,3.0,0.0,3.0,1.111,6.000,2.5
172055268,11265336,11240527,1.0,3.0,4.0,,,
172055282,11259408,11265335,2.0,3.0,5.0,,,
172055290,11239770,11265336,3.0,1.0,4.0,,,
172055299,11259408,11240527,5.0,1.0,6.0,1.100,6.500,2.5
172055304,11265335,11265336,1.0,3.0,4.0,1.200,4.333,2.5
172055310,11259408,11265336,2.0,2.0,4.0,1.050,8.500,2.5
172055316,11240527,11239770,1.0,3.0,4.0,1.050,8.500,2.5
172055321,11259408,11239770,6.0,2.0,8.0,1.010,15.000,2.5
172055326,11240527,11265335,3.0,1.0,4.0,1.615,2.250,2.5
172007653,11230348,11232153,2.0,1.0,3.0,1.111,6.000,2.5
172007660,11227233,11234845,4.0,1.0,5.0,1.125,5.500,2.5
172007524,11225772,11227768,5.0,4.0,9.0,1.111,6.000,2.5
172007531,11233961,11230345,3.0,1.0,4.0,1.100,6.500,2.5
172007666,11234845,11230348,1.0,3.0,4.0,1.200,4.333,2.5
172007670,11232153,11226660,2.0,2.0,4.0,1.222,4.000,2.5
172007535,11230345,11225772,3.0,5.0,8.0,1.125,5.500,2.5
172007541,11227768,11238590,2.0,3.0,5.0,1.125,5.500,2.5
172007678,11226660,11234845,2.0,4.0,6.0,1.222,4.000,2.5
172007689,11230348,11227233,3.0,1.0,4.0,,,
172007545,11230345,11238590,1.0,5.0,6.0,1.100,6.500,2.5
172007550,11233961,11225772,4.0,3.0,7.0,1.050,8.500,2.5
172007700,11226660,11227233,2.0,1.0,3.0,1.125,5.500,2.5
172007706,11232153,11234845,5.0,2.0,7.0,1.333,3.250,2.5
172007554,11238590,11233961,4.0,2.0,6.0,1.083,7.000,2.5
172007559,11227768,11230345,2.0,0.0,2.0,1.200,4.333,2.5
172007713,11227233,11232153,3.0,1.0,4.0,1.250,3.750,2.5
172007718,11230348,11226660,0.0,0.0,0.0,1.142,5.000,2.5
172007564,11233961,11227768,1.0,4.0,5.0,1.100,6.500,2.5
172007574,11225772,11238590,6.0,2.0,8.0,1.071,7.500,2.5
172007722,11232153,11230348,1.0,3.0,4.0,1.142,5.000,2.5
172007727,11234845,11227233,0.0,4.0,4.0,1.142,5.000,2.5
172007578,11227768,11225772,3.0,4.0,7.0,1.111,6.000,2.5
172007582,11230345,11233961,3.0,2.0,5.0,1.100,6.500,2.5
172007732,11230348,11234845,4.0,1.0,5.0,1.200,4.333,2.5
172007740,11226660,11232153,4.0,3.0,7.0,1.142,5.000,2.5
172007588,11225772,11230345,3.0,1.0,4.0,1.100,6.500,2.5
172007594,11238590,11227768,4.0,1.0,5.0,1.142,5.000,2.5
172007753,11234845,11226660,2.0,2.0,4.0,1.200,4.333,2.5
172007759,11227233,11230348,5.0,0.0,5.0,1.100,6.500,2.5
172007604,11238597,11230369,3.0,1.0,4.0,1.100,6.500,2.5
172007609,11229841,11233974,1.0,2.0,3.0,1.050,8.500,2.5
172007613,11233974,11238597,4.0,2.0,6.0,1.050,8.500,2.5
172007618,11230369,11227783,4.0,4.0,8.0,1.250,3.750,2.5
172007765,11260654,11226681,1.0,3.0,4.0,1.142,5.000,2.5
172007770,11226255,11232199,1.0,1.0,2.0,1.300,3.400,2.5
172007622,11227783,11233974,2.0,6.0,8.0,1.100,6.500,2.5
172007627,11238597,11229841,2.0,5.0,7.0,1.071,7.500,2.5
