,goals_over_under,tot_goals,odd_goals_over1,odd_goals_under1,h2h_mean,media_goals_home,media_victories_home,media_goals_away,media_victories_away
26,2.5,3.0,1.8,2.0,3.5,0.875,0.125,0.75,0.125
27,2.5,2.0,1.285,3.5,3.5,1.75,0.5,1.3,0.5
28,2.5,1.0,1.4,2.75,4.5,0.875,0.125,1.625,0.625
29,2.5,1.0,1.4,2.75,3.0,0.875,0.125,1.3,0.5
30,2.5,5.0,1.8,2.0,2.5,1.25,0.375,2.0,0.75
31,2.5,3.0,1.8,2.0,2.5,1.25,0.375,1.3,0.5
32,2.5,4.0,1.444,2.625,2.0,2.0,0.75,2.0,0.75
33,2.5,5.0,1.85,1.95,2.0,1.75,0.375,1.0,0.0
34,2.5,6.0,1.363,3.0,4.0,1.7,0.4,1.875,0.25
35,2.5,2.0,1.533,2.375,5.5,2.2,0.3,1.0,0.0
36,2.5,4.0,1.8,2.0,3.0,1.75,0.375,1.8,0.3
37,2.5,2.0,1.285,3.5,4.0,2.2,0.3,1.875,0.25
38,2.5,6.0,1.363,3.0,2.3333333333333335,2.0,0.42857142857142855,1.8,0.3
39,2.5,4.0,1.5,2.5,6.0,2.2,0.3,1.8,0.3
40,2.5,1.0,1.85,1.95,3.6666666666666665,1.8333333333333333,0.3333333333333333,1.5,0.25
41,2.5,4.0,1.615,2.25,3.6666666666666665,2.2,0.3,1.5,0.25
42,2.5,3.0,1.444,2.625,3.6666666666666665,1.8333333333333333,0.3333333333333333,1.0,0.0
43,2.5,3.0,1.8,2.0,1.5,2.0,0.42857142857142855,1.5,0.25
44,2.5,4.0,1.615,2.25,2.5,1.7,0.4,1.5,0.25
45,2.5,4.0,1.285,3.5,4.0,1.8333333333333333,0.3333333333333333,2.9,0.5
46,2.5,4.0,1.363,3.0,1.5,1.7,0.4,1.0,0.0
47,2.5,6.0,1.4,2.75,,1.7,0.4,2.9,0.5
48,2.5,5.0,1.8,2.0,3.0,1.75,0.375,1.875,0.25
49,2.5,5.0,1.615,2.25,3.0,1.75,0.375,2.9,0.5
50,2.5,4.0,1.444,2.625,3.5,2.0,0.42857142857142855,1.875,0.25
51,2.5,0.0,1.85,1.95,2.3333333333333335,1.375,0.5,1.7,0.6
52,2.5,5.0,1.333,3.25,4.0,2.0,0.5,1.125,0.0
53,2.5,4.0,1.444,2.625,2.3333333333333335,1.4285714285714286,0.42857142857142855,1.7,0.6
54,2.5,3.0,1.65,2.2,3.3333333333333335,1.375,0.5,1.5,0.375
55,2.5,3.0,1.285,3.5,3.0,1.4285714285714286,0.42857142857142855,1.125,0.0
56,2.5,4.0,1.363,3.0,4.666666666666667,1.6,0.5,1.5,0.375
57,2.5,0.0,1.363,3.0,1.3333333333333333,1.4285714285714286,0.42857142857142855,1.5,0.375
58,2.5,2.0,1.75,2.05,2.6666666666666665,1.0,0.0,1.7142857142857142,0.5714285714285714
59,,4.0,,,2.0,1.4285714285714286,0.42857142857142855,1.7142857142857142,0.5714285714285714
60,,1.0,,,3.6666666666666665,1.0,0.0,1.7,0.6
61,2.5,3.0,1.8,2.0,2.0,1.6,0.5,1.7142857142857142,0.5714285714285714
62,2.5,4.0,1.363,3.0,4.0,1.0,0.0,1.5,0.375
63,2.5,3.0,1.571,2.35,2.0,1.6,0.5,0.625,0.125
64,2.5,3.0,1.5,2.5,3.5,2.0,0.5,1.7142857142857142,0.5714285714285714
65,2.5,3.0,1.333,3.25,3.0,1.0,0.0,0.625,0.125
66,2.5,5.0,1.363,3.0,4.5,2.0,0.5,1.7,0.6
67,2.5,2.0,1.75,2.05,1.0,2.0,0.5,0.625,0.125
68,2.5,3.0,1.533,2.375,2.5,1.375,0.5,1.125,0.0
69,2.5,2.0,1.444,2.625,2.0,1.375,0.5,0.625,0.125
70,2.5,4.0,1.4,2.75,3.5,1.6,0.5,1.125,0.0
71,2.5,6.0,1.111,6.0,6.0,3.75,0.5,1.25,0.0
72,2.5,8.0,1.01,15.0,10.0,5.0,1.0,3.0,0.25
73,2.5,5.0,1.222,4.0,2.0,3.4444444444444446,0.6666666666666666,1.25,0.0
74,2.5,7.0,1.01,15.0,9.0,3.75,0.5,4.25,0.25
75,2.5,4.0,1.062,8.0,2.0,3.4444444444444446,0.6666666666666666,3.0,0.25
76,2.5,6.0,1.025,10.5,4.0,2.5,0.5,4.25,0.25
77,2.5,7.0,1.02,11.0,7.0,3.4444444444444446,0.6666666666666666,4.25,0.25
78,2.5,9.0,1.005,17.0,9.0,2.25,0.25,3.0,0.25
79,2.5,6.0,1.03,10.0,10.0,3.4444444444444446,0.6666666666666666,3.0,0.25
80,2.5,1.0,1.25,3.75,4.0,2.25,0.25,1.25,0.0
81,2.5,6.0,1.111,6.0,,2.5,0.5,3.0,0.25
82,2.5,10.0,1.01,15.0,,2.25,0.25,4.25,0.25
83,2.5,2.0,1.222,4.0,,2.5,0.5,2.5555555555555554,0.3333333333333333
84,2.5,9.0,1.005,17.0,,5.0,1.0,3.0,0.25
85,2.5,2.0,1.062,8.0,,2.25,0.25,2.5555555555555554,0.3333333333333333
86,2.5,4.0,1.025,10.5,,5.0,1.0,1.25,0.0
87,2.5,7.0,1.02,11.0,,5.0,1.0,2.5555555555555554,0.3333333333333333
