,home,away,home_goals,away_goals,media_goals_home,media_goals_away,media_victories_home,media_victories_away,home_h2h_mean,away_h2h_mean,odds,indefinido,perde,ganha,reembolso,draw_no_bet_team_1.0,draw_no_bet_team_2.0
99,11241242,11267171,0.0,1.0,1.8,1.5,0.6,0.25,,,1.615,False,True,False,False,True,False
100,11241242,11239847,2.0,1.0,1.8,1.6,0.6,0.4,,,1.571,False,False,True,False,True,False
101,11257520,11267171,2.0,2.0,1.6,1.5,0.4,0.25,,,1.909,False,False,False,True,True,False
102,11241282,11244749,2.0,3.0,1.2,1.75,0.2,0.5,,,1.727,False,True,False,False,True,False
103,11250953,11267235,1.0,2.0,1.5,1.5,0.25,0.75,,,,True,False,False,False,False,False
104,11267236,11244749,2.0,2.0,1.75,1.75,0.25,0.5,,,1.833,False,False,False,True,True,False
105,11241282,11250953,0.0,2.0,1.2,1.0,0.2,0.5,,,1.666,False,True,False,False,True,False
106,11267236,11267235,1.0,2.0,1.75,1.5,0.25,0.75,,,,True,False,False,False,False,False
107,11244749,11250953,2.0,0.0,1.25,1.0,0.75,0.5,,,,True,False,False,False,False,False
108,11241549,11239015,3.0,3.0,3.8,2.8,0.4,0.4,3.5,3.0,,True,False,False,False,False,False
109,11267236,11250953,3.0,1.0,1.75,1.0,0.25,0.5,,,,True,False,False,False,False,False
110,11267235,11241282,2.0,2.0,1.0,1.2,0.25,0.2,,,,True,False,False,False,False,False
111,11222174,11239015,1.0,3.0,2.4,2.8,0.2,0.4,,,,True,False,False,False,False,False
112,11241549,11231374,2.0,4.0,3.8,3.4,0.4,0.4,,,,True,False,False,False,False,False
113,11267236,11241282,1.0,1.0,1.75,1.2,0.25,0.2,,,,True,False,False,False,False,False
114,11267235,11244749,0.0,1.0,1.0,1.75,0.25,0.5,,,,True,False,False,False,False,False
115,11239015,11231374,3.0,3.0,2.8,3.4,0.0,0.4,,,,True,False,False,False,False,False
116,11222174,11231374,3.0,5.0,2.4,3.4,0.2,0.4,,,,True,False,False,False,False,False
117,11244749,11241282,0.0,0.0,1.25,1.2,0.75,0.2,,,,True,False,False,False,False,False
118,11267235,11250953,0.0,1.0,1.0,1.0,0.25,0.5,,,,True,False,False,False,False,False
119,11222174,11241549,2.0,4.0,2.4,4.0,0.2,0.6,,,,True,False,False,False,False,False
120,11244749,11267236,2.0,1.0,1.25,1.25,0.75,0.0,,,,True,False,False,False,False,False
121,11250953,11241282,1.0,2.0,1.5,1.2,0.25,0.2,,,,True,False,False,False,False,False
122,11239015,11241549,4.0,5.0,2.8,4.0,0.0,0.6,4.0,3.5,,True,False,False,False,False,False
123,11267235,11267236,2.0,1.0,1.0,1.25,0.25,0.0,,,,True,False,False,False,False,False
124,11250953,11244749,2.0,1.0,1.5,1.75,0.25,0.5,,,,True,False,False,False,False,False
125,11239015,11222174,1.0,3.0,2.8,4.0,0.0,0.4,,,,True,False,False,False,False,False
126,11231374,11241549,3.0,3.0,1.8,4.0,0.2,0.6,,,,True,False,False,False,False,False
127,11250953,11267236,2.0,2.0,1.5,1.25,0.25,0.0,,,,True,False,False,False,False,False
128,11241282,11267235,1.0,2.0,1.2,1.5,0.2,0.75,,,,True,False,False,False,False,False
129,11231374,11239015,2.0,3.0,1.8,2.8,0.2,0.4,,,,True,False,False,False,False,False
130,11241282,11267236,2.0,1.0,1.2,1.25,0.2,0.0,,,,True,False,False,False,False,False
131,11244749,11267235,1.0,0.0,1.25,1.5,0.75,0.75,,,,True,False,False,False,False,False
132,11231374,11222174,2.0,4.0,1.8,4.0,0.2,0.4,,,,True,False,False,False,False,False
133,11252913,11257498,1.0,0.0,1.2,1.4,0.6,0.2,,,1.833,False,False,True,False,True,False
134,11232015,11253639,1.0,3.0,2.0,2.0,0.4,0.8,2.5,1.5,1.833,False,True,False,False,True,False
135,11241549,11222174,5.0,5.0,3.8,4.0,0.4,0.4,,,1.444,False,False,False,True,True,False
136,11235250,11257498,1.0,3.0,0.4,1.4,0.0,0.2,,,1.909,False,True,False,False,True,False
137,11252913,11232015,2.0,3.0,1.2,1.6,0.6,0.6,1.5,2.5,1.666,False,True,False,False,True,False
138,11239075,11239076,3.0,3.0,2.3333333333333335,2.2,0.3333333333333333,0.4,,,1.8,False,False,False,True,True,False
139,11235250,11253639,0.0,1.0,0.4,2.0,0.0,0.8,,,1.833,False,True,False,False,True,False
140,11257498,11232015,0.0,0.0,0.8,1.6,0.0,0.6,,,1.571,False,False,False,True,True,False
141,11267264,11239076,2.0,1.0,2.0,2.2,0.3333333333333333,0.4,,,2.2,False,False,True,False,True,False
142,11239075,11238343,2.0,3.0,2.3333333333333335,3.4,0.3333333333333333,0.6,,,1.666,False,True,False,False,True,False
143,11235250,11232015,0.0,1.0,0.4,1.6,0.0,0.6,,,1.571,False,True,False,False,True,False
144,11253639,11252913,2.0,2.0,2.4,1.8,0.4,0.4,2.5,2.5,2.2,False,False,False,True,True,False
145,11239076,11238343,3.0,2.0,3.0,3.4,0.6,0.6,3.5,4.0,1.666,False,False,True,False,True,False
