,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,ah1_indefinido,ah1_negativo,ah1_positivo,ah1_reembolso,ah2_indefinido,ah2_negativo,ah2_positivo,ah2_reembolso,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,gl1_indefinido,gl1_negativo,gl1_positivo,gl1_reembolso,gl2_indefinido,gl2_negativo,gl2_positivo,gl2_reembolso,res_double_chance1,res_double_chance2,res_double_chance3,dnb1_ganha,dnb1_indefinido,dnb1_perde,dnb1_reembolso,dnb2_ganha,dnb2_indefinido,dnb2_perde,dnb2_reembolso
234,173355751,11244495,11249958,1,4,5,2.5,1.142,5.000,+0.5,1,1.875,-0.5,2,1.825,"4.5, 5.0",1.0,1.875,"4.5, 5.0",2.0,1.825,PSG (Bolec) or Draw,1.833,Draw or Real Madrid (Hyper),1.250,PSG (Bolec) or Real Madrid (Hyper),1.181,1,2.625,2,1.444,20250420,,,,,,,,True,0.5,0.5,-0.5,-0.5,-3,False,False,True,False,False,False,True,False,4.5,5.0,4.5,5.0,False,False,False,True,False,False,False,True,0,1,1,False,False,True,False,True,False,False,False
235,173355754,11244159,11241233,2,3,5,2.5,1.071,7.500,0.0,1,1.875,0.0,2,1.825,5.5,1.0,1.900,5.5,2.0,1.800,River Plate (Glumac) or Draw,1.500,Draw or Man City (arch),1.444,River Plate (Glumac) or Man City (arch),1.222,1,1.833,2,1.833,20250420,,,,,,,,True,0.0,0.0,0.0,0.0,-1,False,False,True,False,False,False,True,False,5.5,5.5,5.5,5.5,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
236,173355756,11241233,11244495,2,2,4,2.5,1.250,3.750,,,,,,,,,,,,,Man City (arch) or Draw,1.363,Draw or PSG (Bolec),1.500,Man City (arch) or PSG (Bolec),1.285,1,1.727,2,2.000,20250420,,,,,,,,True,,,,,0,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
237,173355758,11249958,11240769,2,5,7,2.5,1.050,8.500,,,,,,,,,,,,,Real Madrid (Hyper) or Draw,1.500,Draw or Boca Juniors (Boki),1.571,Real Madrid (Hyper) or Boca Juniors (Boki),1.125,1,1.800,2,1.909,20250420,,,,,,,,True,,,,,-3,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
238,173355760,11241233,11240769,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,2,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
239,173355762,11244159,11244495,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,0,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,1,0,False,True,False,False,False,True,False,False
240,173355764,11240769,11244159,5,3,8,2.5,1.071,7.500,,,,,,,,,,,,,Boca Juniors (Boki) or Draw,1.333,Draw or River Plate (Glumac),1.700,Boca Juniors (Boki) or River Plate (Glumac),1.166,1,1.571,2,2.250,20250420,,,,,,,,True,,,,,2,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
241,173355767,11249958,11241233,6,3,9,2.5,1.083,7.000,,,,,,,,,,,,,Real Madrid (Hyper) or Draw,1.285,Draw or Man City (arch),1.909,Real Madrid (Hyper) or Man City (arch),1.125,1,1.444,2,2.625,20250420,,,,,,,,True,,,,,3,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
242,173355770,11244159,11249958,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
243,173355772,11244495,11240769,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,0,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,1,0,False,True,False,False,False,True,False,False
