,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,classificacao_ah1,classificacao_ah2,ah1_positivo,ah1_negativo,ah1_reembolso,ah1_indefinido,ah1_meio_ganho,ah2_positivo,ah2_negativo,ah2_reembolso,ah2_indefinido,ah2_meio_ganho,ah2_meia_perda,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,classificacao_gl1,classificacao_gl2,gl1_positivo,gl1_negativo,gl1_reembolso,gl1_indefinido,gl1_meio_ganho,gl1_meia_perda,gl2_positivo,gl2_negativo,gl2_reembolso,gl2_indefinido,gl2_meio_ganho,gl2_meia_perda,res_double_chance1,res_double_chance2,res_double_chance3,res_draw_no_bet1,res_draw_no_bet2,dnb1_ganha,dnb1_perde,dnb1_reembolso,dnb1_indefinido,dnb2_ganha,dnb2_perde,dnb2_reembolso,dnb2_indefinido
952,173584521,11275025,11275027,1.0,1.0,2.0,2.5,1.166,4.500,"0.0, +0.5",1,1.750,"0.0, -0.5",2,1.950,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Pohang Steelers (HUNTER) or Draw,1.550,Draw or Al Nassr (Kyba51),1.444,Pohang Steelers (HUNTER) or Al Nassr (Kyba51),1.181,1,2.000,2,1.727,20250426,,,,,,,,False,0.0,0.5,0.0,-0.5,0.0,meio_ganho,meia_perda,False,False,False,False,False,False,False,False,False,False,True,4.0,4.5,4.0,4.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
953,173588352,11225924,11239473,5.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250426,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0,indefinido,indefinido,False,False,False,True,False,False,False,True
954,173588357,11235442,11235438,4.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250426,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0,indefinido,indefinido,False,False,False,True,False,False,False,True
955,173588369,11235438,11225924,5.0,2.0,7.0,2.5,1.050,8.500,,,,,,,,,,,,,Croatia (Kravatskhelia) or Draw,1.363,Draw or Mexico (Senior),1.666,Croatia (Kravatskhelia) or Mexico (Senior),1.166,1,1.615,2,2.200,20250426,,,,,,,,True,,,,,3.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
956,173588374,11239473,11224521,2.0,5.0,7.0,2.5,1.125,5.500,,,,,,,,,,,,,Netherlands (cl1vlind) or Draw,1.600,Draw or Portugal (Uncle),1.300,Netherlands (cl1vlind) or Portugal (Uncle),1.250,1,2.250,2,1.571,20250426,,,,,,,,True,,,,,-3.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
957,173584524,11275065,11275066,3.0,4.0,7.0,2.5,1.200,4.333,,,,,,,,,,,,,River Plate (HUNTER) or Draw,1.500,Draw or Real Madrid (WellBeck06_09),1.500,River Plate (HUNTER) or Real Madrid (WellBeck06_09),1.222,1,1.833,2,1.833,20250426,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
958,173584527,11275063,11275064,3.0,3.0,6.0,2.5,1.100,6.500,,,,,,,,,,,,,Man City (_Pedro_69) or Draw,2.150,Draw or PSG (A1ose),1.166,Man City (_Pedro_69) or PSG (A1ose),1.125,1,3.400,2,1.300,20250426,,,,,,,,True,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
959,173588379,11225924,11235442,6.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250426,,,,,,,,False,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,indefinido,indefinido,False,False,False,True,False,False,False,True
960,173588376,11224521,11235438,2.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250426,,,,,,,,False,,,,,-3.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,indefinido,indefinido,False,False,False,True,False,False,False,True
961,173584530,11275064,11275065,6.0,2.0,8.0,2.5,1.100,6.500,,,,,,,,,,,,,PSG (A1ose) or Draw,1.166,Draw or River Plate (HUNTER),2.400,PSG (A1ose) or River Plate (HUNTER),1.100,1,1.250,2,3.750,20250426,,,,,,,,True,,,,,4.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
962,173584532,11275066,11275070,3.0,2.0,5.0,2.5,1.200,4.333,0.0,1,1.850,0.0,2,1.850,"4.0, 4.5",1.0,1.925,"4.0, 4.5",2.0,1.775,Real Madrid (WellBeck06_09) or Draw,1.500,Draw or Boca Juniors (Kyba51),1.500,Real Madrid (WellBeck06_09) or Boca Juniors (Kyba51),1.166,1,1.833,2,1.833,20250426,,,,,,,,True,0.0,0.0,0.0,0.0,1.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,4.0,4.5,4.0,4.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
963,173588381,11235442,11224521,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250426,,,,,,,,False,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,indefinido,indefinido,False,False,False,True,False,False,False,True
964,173588384,11235438,11239473,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250426,,,,,,,,False,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,indefinido,indefinido,False,False,False,True,False,False,False,True
965,173584534,11275070,11275064,3.0,3.0,6.0,2.5,1.083,7.000,,,,,,,,,,,,,Boca Juniors (Kyba51) or Draw,2.150,Draw or PSG (A1ose),1.166,Boca Juniors (Kyba51) or PSG (A1ose),1.166,1,3.500,2,1.285,20250426,,,,,,,,True,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
