,h2h_mean,media_goals_home,media_goals_away,goal_line_1,goal_line_2,indefinido,negativo,positivo,reembolso,type_1.0,type_2.0
96,,2.0,1.6,,,True,False,False,False,False,False
97,,1.8,1.8,,,True,False,False,False,False,False
98,6.0,1.8,1.6,3.5,3.5,False,False,True,False,True,False
99,,1.8,1.5,3.0,3.5,False,True,False,False,True,False
100,,1.8,1.6,3.0,3.5,False,False,False,True,True,False
101,,1.6,1.5,2.5,3.0,False,False,True,False,True,False
102,,1.2,1.75,,,True,False,False,False,False,False
103,,1.5,1.5,,,True,False,False,False,False,False
104,,1.75,1.75,3.0,3.0,False,False,True,False,True,False
105,,1.2,1.0,3.5,4.0,False,True,False,False,True,False
106,,1.75,1.5,,,True,False,False,False,False,False
107,,1.25,1.0,,,True,False,False,False,False,False
108,6.5,3.8,2.8,,,True,False,False,False,False,False
109,,1.75,1.0,3.5,3.5,False,False,True,False,True,False
110,,1.0,1.2,3.0,3.5,False,False,True,False,True,False
111,,2.4,2.8,,,True,False,False,False,False,False
112,,3.8,3.4,,,True,False,False,False,False,False
113,,1.75,1.2,3.0,3.5,False,True,False,False,True,False
114,,1.0,1.75,3.0,3.0,False,True,False,False,True,False
115,,2.8,3.4,5.0,5.5,False,False,True,False,True,False
116,,2.4,3.4,6.0,6.0,False,False,True,False,True,False
117,,1.25,1.2,,,True,False,False,False,False,False
118,,1.0,1.0,,,True,False,False,False,False,False
119,,2.4,4.0,,,True,False,False,False,False,False
120,,1.25,1.25,3.0,3.0,False,False,False,True,True,False
121,,1.5,1.2,3.5,3.5,False,True,False,False,True,False
122,7.5,2.8,4.0,6.0,6.5,False,False,True,False,True,False
123,,1.0,1.25,3.0,3.0,False,False,False,True,True,False
124,,1.5,1.75,3.0,3.5,False,False,False,True,True,False
125,,2.8,4.0,5.0,5.5,False,True,False,False,True,False
126,,1.8,4.0,7.0,7.5,False,True,False,False,True,False
127,,1.5,1.25,3.5,4.0,False,False,False,True,True,False
128,,1.2,1.5,3.0,3.5,False,False,False,True,True,False
129,,1.8,2.8,,,True,False,False,False,False,False
130,,1.2,1.25,3.0,3.5,False,False,False,True,True,False
131,,1.25,1.5,3.0,3.0,False,True,False,False,True,False
132,,1.8,4.0,6.0,6.5,False,False,False,True,True,False
133,,1.2,1.4,3.0,3.0,False,True,False,False,True,False
134,4.0,2.0,2.0,3.5,4.0,False,False,False,True,True,False
135,,3.8,4.0,7.0,7.5,False,False,True,False,True,False
136,,0.4,1.4,3.0,3.0,False,False,True,False,True,False
137,4.0,1.2,1.6,3.5,3.5,False,False,True,False,True,False
138,,2.3333333333333335,2.2,6.5,7.0,False,True,False,False,True,False
139,,0.4,2.0,3.0,3.0,False,True,False,False,True,False
140,,0.8,1.6,3.0,3.0,False,True,False,False,True,False
141,,2.0,2.2,,,True,False,False,False,False,False
142,,2.3333333333333335,3.4,,,True,False,False,False,False,False
143,,0.4,1.6,,,True,False,False,False,False,False
144,5.0,2.4,1.8,,,True,False,False,False,False,False
145,7.5,3.0,3.4,5.0,5.5,False,False,False,True,True,False
146,,0.4,1.8,3.0,3.5,False,True,False,False,True,False
147,,2.4,1.4,2.5,3.0,False,True,False,False,True,False
148,,2.0,3.4,6.0,6.0,False,True,False,False,True,False
149,,0.8,1.8,,,True,False,False,False,False,False
150,1.5,2.4,1.6,,,True,False,False,False,False,False
151,,2.0,3.0,,,True,False,False,False,False,False
152,,0.8,1.8,3.0,3.0,False,True,False,False,True,False
153,3.0,2.0,1.8,3.0,3.5,False,False,False,True,True,False
154,,2.4,1.8,2.5,3.0,False,False,True,False,True,False
155,,2.0,1.4,3.0,3.0,False,False,False,True,True,False
156,,3.0,3.0,6.5,7.0,False,True,False,False,True,False
157,,2.0,1.8,3.5,3.5,False,False,True,False,True,False
158,2.5,1.2,2.0,,,True,False,False,False,False,False
159,,3.0,2.3333333333333335,,,True,False,False,False,False,False
160,,4.0,3.0,,,True,False,False,False,False,False
161,,1.2,1.8,,,True,False,False,False,False,False
162,,0.8,2.0,,,True,False,False,False,False,False
163,5.0,4.0,2.2,,,True,False,False,False,False,False
164,,4.0,2.3333333333333335,,,True,False,False,False,False,False
165,,2.3333333333333335,2.3333333333333335,,,True,False,False,False,False,False
166,,3.0,2.0,6.5,6.5,False,True,False,False,True,False
167,,2.0,2.5,7.5,8.0,False,True,False,False,True,False
168,,2.4,2.0,,,True,False,False,False,False,False
169,,3.0,2.0,,,True,False,False,False,False,False
170,,3.2,3.2,,,True,False,False,False,False,False
171,,2.6666666666666665,2.0,,,True,False,False,False,False,False
172,,2.0,3.2,,,True,False,False,False,False,False
173,,2.4,2.0,,,True,False,False,False,False,False
174,,2.4,2.6666666666666665,,,True,False,False,False,False,False
175,,2.6666666666666665,2.6666666666666665,,,True,False,False,False,False,False
176,,3.2,2.0,,,True,False,False,False,False,False
177,,2.6666666666666665,2.2,,,True,False,False,False,False,False
178,,1.3333333333333333,2.6666666666666665,,,True,False,False,False,False,False
179,,2.2,2.5,,,True,False,False,False,False,False
180,,1.3333333333333333,2.0,,,True,False,False,False,False,False
181,,2.2,2.0,,,True,False,False,False,False,False
182,,1.3333333333333333,2.2,5.5,6.0,False,True,False,False,True,False
183,,3.0,2.2,,,True,False,False,False,False,False
184,,2.2,3.2,,,True,False,False,False,False,False
185,,3.0,3.4,,,True,False,False,False,False,False
186,,2.2,3.4,5.0,5.5,False,False,True,False,True,False
187,,3.0,1.8,7.0,7.5,False,True,False,False,True,False
188,,2.6,3.2,,,True,False,False,False,False,False
189,,2.6,1.8,,,True,False,False,False,False,False
190,,2.4,1.8,4.0,4.0,False,False,True,False,True,False
191,4.0,1.8,2.2,4.5,4.5,False,False,True,False,True,False
192,4.0,2.6,2.6,5.0,5.0,False,True,False,False,True,False
193,,2.0,2.0,4.5,4.5,False,False,True,False,True,False
194,2.0,1.4,2.0,4.0,4.0,False,False,True,False,True,False
195,5.333333333333333,2.6,2.2,4.5,4.5,False,False,True,False,True,False
196,,2.4,2.0,4.0,4.5,False,False,False,True,True,False
197,,2.0,2.8,,,True,False,False,False,False,False
198,5.0,1.8,2.0,4.0,4.5,False,False,True,False,True,False
199,,2.8,1.8,4.0,4.5,False,False,False,True,True,False
200,,3.4,2.0,4.0,4.5,False,False,True,False,True,False
201,5.0,2.6,3.8,4.5,5.0,False,False,True,False,True,False
202,7.0,3.4,2.8,,,True,False,False,False,False,False
203,4.0,2.0,3.0,,,True,False,False,False,False,False
204,4.0,2.6,1.8,,,True,False,False,False,False,False
205,4.0,2.4,2.2,,,True,False,False,False,False,False
206,,3.6,3.8,,,True,False,False,False,False,False
207,5.0,3.4,2.8,,,True,False,False,False,False,False
208,4.5,2.6,2.0,4.0,4.5,False,False,True,False,True,False
209,,2.0,2.2,4.0,4.0,False,False,False,True,True,False
210,2.0,2.6,3.0,5.0,5.0,False,False,False,True,True,False
211,,3.4,2.0,4.5,4.5,False,False,True,False,True,False
212,,1.2,2.2,,,True,False,False,False,False,False
213,2.0,2.6,2.0,,,True,False,False,False,False,False
214,,2.0,2.8,4.0,4.5,False,False,False,True,True,False
215,,3.6,2.8,5.0,5.0,False,False,True,False,True,False
216,4.0,2.4,2.2,,,True,False,False,False,False,False
217,6.333333333333333,2.6,1.8,,,True,False,False,False,False,False
218,,2.0,2.8,,,True,False,False,False,False,False
219,8.0,3.4,2.8,,,True,False,False,False,False,False
220,7.0,2.0,2.0,,,True,False,False,False,False,False
221,,1.2,2.0,,,True,False,False,False,False,False
222,4.0,3.4,3.8,,,True,False,False,False,False,False
223,3.0,3.6,2.0,,,True,False,False,False,False,False
224,7.0,2.0,2.0,4.5,4.5,False,True,False,False,True,False
225,4.0,2.6,2.0,4.0,4.0,False,False,True,False,True,False
226,,3.4,3.0,,,True,False,False,False,False,False
227,4.0,2.6,2.8,,,True,False,False,False,False,False
228,2.5,2.6,2.2,,,True,False,False,False,False,False
229,,1.2,1.8,,,True,False,False,False,False,False
230,4.0,3.6,2.8,5.0,5.0,False,False,True,False,True,False
231,,2.0,3.8,5.0,5.0,False,False,True,False,True,False
232,,2.6,2.2,4.0,4.0,False,False,True,False,True,False
233,3.0,2.4,2.0,4.5,4.5,False,False,True,False,True,False
234,,2.6,2.0,4.0,4.5,False,False,True,False,True,False
235,,3.4,3.0,5.0,5.5,False,False,True,False,True,False
236,3.0,1.2,2.0,3.5,4.0,False,True,False,False,True,False
237,7.666666666666667,2.0,2.2,4.0,4.5,False,False,False,True,True,False
238,2.0,2.4,1.8,4.0,4.0,False,False,True,False,True,False
239,,2.6,2.2,4.0,4.5,False,False,True,False,True,False
240,5.666666666666667,2.4,3.2,,,True,False,False,False,False,False
241,5.0,1.6,2.6,,,True,False,False,False,False,False
242,2.0,2.2,2.4,4.5,4.5,False,False,True,False,True,False
243,3.5,1.8,1.6,4.0,4.5,False,True,False,False,True,False
244,4.0,1.6,3.6,,,True,False,False,False,False,False
245,3.0,1.4,3.2,,,True,False,False,False,False,False
