,media_goals_home,media_goals_away,home_h2h_mean,away_h2h_mean,asian_handicap_1,asian_handicap_2,odds,indefinido,negativo,positivo,reembolso
127,1.5,1.25,,,0.0,0.5,1.9,False,False,False,True
128,1.2,1.5,,,0.0,-0.5,1.9,False,True,False,False
130,1.2,1.25,,,0.0,-0.5,1.9,False,False,True,False
131,1.25,1.5,,,0.0,0.0,1.85,False,False,True,False
132,1.8,4.0,,,0.0,-0.5,1.8,False,True,False,False
133,1.2,1.4,,,0.0,0.0,1.875,False,False,True,False
134,2.0,2.0,2.5,1.5,0.0,0.0,1.85,False,True,False,False
135,3.8,4.0,,,-1.0,-1.0,1.9,False,True,False,False
136,0.4,1.4,,,0.0,0.0,1.925,False,True,False,False
137,1.2,1.6,1.5,2.5,0.0,-0.5,1.9,False,True,False,False
138,2.3333333333333335,2.2,,,0.0,0.0,1.8,False,False,False,True
139,0.4,2.0,,,0.0,0.0,1.875,False,True,False,False
140,0.8,1.6,,,0.0,-0.5,1.85,False,False,False,True
145,3.0,3.4,3.5,4.0,0.0,-0.5,1.85,False,False,True,False
146,0.4,1.8,,,0.0,0.5,1.825,False,False,False,True
147,2.4,1.4,,,0.0,0.0,1.8,False,False,False,True
148,2.0,3.4,,,0.0,0.5,1.825,False,True,False,False
152,0.8,1.8,,,0.0,0.0,1.8,False,True,False,False
153,2.0,1.8,1.5,1.5,0.0,0.5,1.85,False,True,False,False
154,2.4,1.8,,,0.0,0.0,1.875,False,True,False,False
155,2.0,1.4,,,0.0,0.5,1.9,False,False,True,False
156,3.0,3.0,,,0.0,0.0,1.875,False,False,True,False
157,2.0,1.8,,,0.0,0.5,1.875,False,False,False,True
166,3.0,2.0,,,0.0,0.0,1.825,False,False,False,True
167,2.0,2.5,,,0.0,0.0,1.825,False,False,True,False
182,1.3333333333333333,2.2,,,0.0,-0.5,1.9,False,True,False,False
186,2.2,3.4,,,0.5,0.5,1.85,False,True,False,False
187,3.0,1.8,,,0.0,0.0,1.875,False,False,True,False
190,2.4,1.8,,,-0.5,-0.5,1.925,False,False,True,False
191,1.8,2.2,0.0,4.0,0.0,0.0,1.9,False,True,False,False
192,2.6,2.6,2.0,2.0,0.0,0.0,1.925,False,False,False,True
193,2.0,2.0,,,1.0,1.0,1.8,False,True,False,False
194,1.4,2.0,1.0,1.0,0.0,0.0,1.875,False,False,True,False
195,2.6,2.2,3.3333333333333335,2.0,0.0,0.0,1.95,False,True,False,False
196,2.4,2.0,,,-0.5,-0.5,1.85,False,True,False,False
198,1.8,2.0,2.5,2.5,0.0,0.0,1.9,False,True,False,False
199,2.8,1.8,,,0.0,0.0,1.8,False,False,True,False
200,3.4,2.0,,,-0.5,-0.5,1.925,False,False,True,False
201,2.6,3.8,3.0,2.0,0.0,0.0,1.925,False,False,False,True
208,2.6,2.0,2.0,2.5,0.0,-0.5,1.9,False,False,True,False
209,2.0,2.2,,,0.0,-0.5,1.95,False,False,False,True
210,2.6,3.0,0.0,2.0,0.0,-0.5,1.925,False,False,True,False
211,3.4,2.0,,,-1.0,-1.0,1.9,False,False,True,False
214,2.0,2.8,,,0.5,0.5,1.85,False,False,True,False
215,3.6,2.8,,,0.0,0.5,1.775,False,True,False,False
224,2.0,2.0,2.0,5.0,0.0,-0.5,1.875,False,True,False,False
225,2.6,2.0,2.0,2.0,0.0,-0.5,1.85,False,True,False,False
230,3.6,2.8,2.0,2.0,0.0,0.0,1.9,False,False,True,False
231,2.0,3.8,,,1.0,1.0,1.8,False,True,False,False
232,2.6,2.2,,,-0.5,-0.5,1.925,False,True,False,False
233,2.4,2.0,3.0,0.0,0.0,0.0,1.925,False,False,True,False
234,2.6,2.0,,,-0.5,-0.5,1.85,False,False,True,False
235,3.4,3.0,,,0.0,-0.5,1.875,False,False,True,False
236,1.2,2.0,2.0,1.0,0.0,0.0,1.875,False,False,False,True
237,2.0,2.2,3.6666666666666665,4.0,0.0,0.0,1.95,False,False,True,False
238,2.4,1.8,1.5,0.5,0.0,0.0,1.9,False,False,False,True
239,2.6,2.2,,,0.0,0.0,1.8,False,False,True,False
242,2.2,2.4,1.0,1.0,0.0,0.5,1.825,False,True,False,False
243,1.8,1.6,2.0,1.5,0.0,0.5,1.875,False,True,False,False
256,2.6,1.6,1.0,2.0,0.0,0.0,1.8,False,True,False,False
257,3.0,2.8,,,0.0,0.0,1.9,False,False,True,False
262,2.2,1.6,2.0,2.0,0.0,0.5,1.775,False,False,False,True
263,3.0,2.4,,,0.0,0.5,1.75,False,False,True,False
264,2.4,3.2,4.0,1.0,0.0,0.0,1.925,False,True,False,False
265,1.6,2.6,,,1.0,1.0,1.9,False,False,True,False
266,2.8,1.6,,,-0.5,-0.5,1.925,False,True,False,False
267,1.8,2.8,3.0,6.0,0.0,0.0,1.9,False,False,False,True
268,1.6,3.6,,,0.5,1.0,1.925,False,True,False,False
269,1.4,3.2,3.0,1.0,0.0,0.0,1.8,False,True,False,False
270,3.0,1.6,0.0,2.0,0.0,0.0,1.875,False,False,True,False
271,2.6,1.6,2.6666666666666665,2.3333333333333335,0.0,0.0,1.95,False,False,True,False
274,1.8,2.4,1.5,3.0,0.0,0.0,1.9,False,True,False,False
275,2.2,1.6,,,0.0,0.0,1.8,False,False,True,False
290,2.8,1.2,2.0,1.0,-1.0,-1.0,1.925,False,True,False,False
