,media_goals_home,media_goals_away,home_h2h_mean,away_h2h_mean,asian_handicap_1,asian_handicap_2,odds,indefinido,negativo,positivo,reembolso
61,3.25,2.75,,,0.0,-0.5,1.875,False,,,False
62,2.0,3.2,,,,,,True,,,False
63,2.0,2.5,,,,,,True,,,False
64,2.25,3.2,,,,,,True,,,False
65,2.0,2.5,,,,,,True,,,False
66,2.25,2.5,,,0.0,-0.5,1.85,False,,,False
67,1.0,2.5,,,0.0,0.0,1.825,False,,,False
68,2.25,2.5,,,,,,True,,,False
69,2.75,2.0,,,,,,True,,,False
70,2.25,2.0,,,,,,True,,,False
71,2.75,3.2,,,,,,True,,,False
72,1.0,2.0,,,0.5,0.5,1.8,False,,,False
73,2.75,2.5,,,0.0,-0.5,1.85,False,,,False
74,1.0,2.5,,,,,,True,,,False
75,2.0,2.0,,,,,,True,,,False
76,2.75,2.5,,,0.0,0.0,1.925,False,,,False
77,2.0,3.2,,,0.0,0.0,1.775,False,,,False
78,2.0,2.5,,,,,,True,,,False
79,2.0,2.5,,,,,,True,,,False
80,2.0,2.5,,,0.0,0.5,1.85,False,,,True
81,1.0,2.5,,,0.0,0.0,1.8,False,,,False
82,1.8,1.8,,,,,,True,,,False
83,1.8,1.5,,,,,,True,,,False
84,2.8,1.8,,,0.0,0.0,1.925,False,,,False
85,1.8,1.4,,,0.0,-0.5,1.875,False,,,False
86,2.8,1.5,,,0.0,0.0,1.75,False,,,False
87,1.6,1.4,,,0.0,0.0,1.775,False,,,False
88,2.8,1.4,2.0,3.0,0.0,0.0,1.825,False,,,False
89,2.0,2.0,,,0.0,0.5,1.825,False,,,False
90,2.8,2.0,,,,,,True,,,False
91,2.0,1.8,,,,,,True,,,False
92,1.6,2.0,,,,,,True,,,False
93,2.0,1.4,,,,,,True,,,False
94,1.6,1.6,,,0.0,0.0,1.875,False,,,True
95,1.8,2.0,,,0.0,0.5,1.9,False,,,False
96,2.0,1.6,,,,,,True,,,False
97,1.8,1.8,,,,,,True,,,False
98,1.8,1.6,3.5,2.5,0.0,0.0,1.9,False,,,False
99,1.8,1.5,,,0.0,-0.5,1.85,False,,,False
100,1.8,1.6,,,0.0,-0.5,1.85,False,,,False
101,1.6,1.5,,,0.0,0.0,1.9,False,,,True
102,1.2,1.75,,,,,,True,,,False
103,1.5,1.5,,,,,,True,,,False
104,1.75,1.75,,,0.0,0.0,1.825,False,,,True
105,1.2,1.0,,,0.0,-0.5,1.875,False,,,False
106,1.75,1.5,,,,,,True,,,False
107,1.25,1.0,,,,,,True,,,False
108,3.8,2.8,3.5,3.0,,,,True,,,False
109,1.75,1.0,,,0.0,-0.5,1.85,False,,,False
110,1.0,1.2,,,0.0,0.5,1.8,False,,,True
111,2.4,2.8,,,,,,True,,,False
112,3.8,3.4,,,,,,True,,,False
113,1.75,1.2,,,0.0,0.5,1.9,False,,,True
114,1.0,1.75,,,0.0,0.0,1.8,False,,,False
115,2.8,3.4,,,0.0,-0.5,1.85,False,,,True
116,2.4,3.4,,,0.0,0.5,1.825,False,,,False
117,1.25,1.2,,,,,,True,,,False
118,1.0,1.0,,,,,,True,,,False
119,2.4,4.0,,,,,,True,,,False
120,1.25,1.25,,,0.0,0.0,1.85,False,,,False
121,1.5,1.2,,,0.0,0.5,1.8,False,,,False
