,odd_goals_over1,odd_goals_under1,media_goals_home,media_goals_away,h2h_mean,res_goals_over_under
4090,1.222,4.0,2.4,1.6,5.142857142857143,True
4091,1.25,3.75,1.6,1.0,4.0,True
4092,1.125,5.5,1.4,1.4,3.6666666666666665,False
4093,1.166,4.5,1.6,1.6,3.6666666666666665,False
4095,1.285,3.5,1.4,1.0,3.0,False
4096,1.125,5.5,2.0,2.2,4.714285714285714,True
4098,1.142,5.0,1.2,3.2,4.333333333333333,True
4099,1.2,4.333,1.6,2.0,3.5,True
4101,1.125,5.5,2.6,2.0,3.6666666666666665,True
4102,1.166,4.5,2.6,2.6,5.0,True
4103,1.3,3.4,1.2,2.0,3.0,False
4104,1.222,4.0,2.4,1.4,3.5,True
4105,1.166,4.5,1.6,1.4,4.333333333333333,True
4106,1.222,4.0,2.6,2.0,4.333333333333333,True
4107,1.222,4.0,2.4,2.6,5.666666666666667,True
4108,1.166,4.5,2.2,1.2,5.0,False
4109,1.222,4.0,2.4,2.0,3.0,True
4110,1.222,4.0,2.6,1.2,3.3333333333333335,True
4111,1.25,3.75,2.8,2.0,6.0,True
4112,1.285,3.5,2.6,2.0,3.6666666666666665,True
4113,1.333,3.25,2.6,2.0,4.333333333333333,True
4114,1.222,4.0,1.4,2.2,4.0,True
4115,1.2,4.333,2.6,2.2,4.5,True
4116,1.142,5.0,1.8,1.6,5.0,True
4118,1.142,5.0,2.8,2.0,5.5,True
4119,1.222,4.0,1.8,2.6,3.0,True
4120,1.222,4.0,1.2,1.0,5.333333333333333,True
4121,1.166,4.5,2.0,2.6,5.0,True
4122,1.2,4.333,2.6,2.0,4.0,True
4123,1.222,4.0,1.2,2.2,4.5,False
4128,1.25,3.75,2.4,1.4,4.5,True
4129,1.2,4.333,2.8,1.2,7.0,False
4130,1.125,5.5,1.4,1.6,3.0,True
4131,1.1,6.5,1.8,2.2,4.666666666666667,True
4132,1.2,4.333,1.8,2.2,4.0,True
4133,1.285,3.5,1.4,0.8,3.6666666666666665,True
4134,1.03,10.0,3.6,3.8,6.666666666666667,True
4135,1.6,2.3,0.8,1.0,3.142857142857143,False
4136,1.666,2.15,2.0,1.0,2.3333333333333335,False
4137,1.166,4.5,3.6,1.0,3.6666666666666665,True
4138,1.25,3.75,1.4,2.8,3.0,False
4139,1.2,4.333,0.8,1.6,2.6666666666666665,False
4140,1.222,4.0,1.8,2.6,3.5,True
4141,1.2,4.333,2.0,3.2,5.0,True
4142,1.222,4.0,1.8,1.6,4.0,False
4143,1.25,3.75,1.8,3.2,4.0,True
4144,1.222,4.0,1.4,2.2,5.5,True
4147,1.3,3.4,1.4,2.8,4.0,True
4149,1.571,2.35,0.8,2.8,3.6666666666666665,True
4150,1.444,2.625,1.4,1.0,5.666666666666667,False
4152,1.5,2.5,1.4,1.0,1.5,False
4153,1.015,12.0,3.2,1.6,6.0,True
4154,1.533,2.375,1.4,1.2,1.6666666666666667,True
4155,1.2,4.333,3.0,1.4,3.0,True
4156,1.062,8.0,4.0,1.6,4.0,True
4158,1.125,5.5,2.2,2.8,6.0,True
4159,1.2,4.333,2.6,1.4,4.0,False
4160,1.222,4.0,2.0,1.6,4.0,True
4161,1.571,2.35,2.0,1.4,2.5,True
4162,1.444,2.625,2.4,1.6,5.5,True
4163,1.444,2.625,1.4,1.4,3.3333333333333335,True
4164,1.75,2.05,2.4,2.8,2.0,True
4165,1.65,2.2,2.4,1.4,3.3333333333333335,False
4166,1.285,3.5,1.4,1.4,3.0,False
4167,1.4,2.75,2.0,0.8,3.5,False
4168,1.222,4.0,1.8,1.2,5.0,True
4169,1.6,2.3,0.8,1.8,3.6666666666666665,True
4170,1.363,3.0,0.8,0.8,4.0,False
4171,1.444,2.625,1.8,1.2,2.3333333333333335,False
4172,1.285,3.5,1.4,1.6,4.0,True
4173,1.166,4.5,2.6,2.6,7.5,True
4175,1.5,2.5,2.8,1.6,1.5,False
4176,1.002,21.0,3.2,3.8,10.0,True
4177,1.25,3.75,1.4,1.8,4.0,True
4178,1.8,2.0,1.4,1.2,2.2857142857142856,False
4179,1.363,3.0,2.2,1.6,3.5,True
4180,1.285,3.5,2.2,1.0,3.3333333333333335,False
4181,1.285,3.5,1.4,1.0,3.0,True
4182,1.363,3.0,2.2,1.2,3.6666666666666665,True
4183,1.015,12.0,3.2,2.4,7.0,True
4185,1.02,11.0,3.2,1.0,6.666666666666667,True
4186,1.083,7.0,3.6,1.6,3.6666666666666665,True
4187,1.2,4.333,2.8,1.0,5.5,True
4188,1.6,2.3,2.2,1.2,3.0,True
4189,1.5,2.5,0.8,1.0,3.0,False
4190,1.3,3.4,1.0,1.6,1.6666666666666667,False
4192,1.005,17.0,3.6,3.8,6.0,True
4193,1.8,2.0,0.8,1.2,1.8333333333333333,False
4194,1.062,8.0,2.0,2.2,6.333333333333333,True
4195,1.285,3.5,2.8,1.8,2.5,True
4196,1.002,21.0,4.0,3.8,10.5,True
4197,1.8,2.0,0.8,1.6,2.1666666666666665,True
4198,1.333,3.25,1.8,1.8,3.5,True
4199,1.083,7.0,1.0,3.8,5.5,True
4200,1.03,10.0,2.0,3.8,5.5,True
4201,1.285,3.5,1.8,1.6,4.0,False
4202,1.02,11.0,1.0,3.8,7.5,True
4203,1.571,2.35,2.4,1.2,4.666666666666667,True
4204,1.142,5.0,2.0,2.4,4.0,True
4206,1.444,2.625,2.0,1.8,3.0,False
4207,1.533,2.375,1.4,1.2,2.3333333333333335,False
4208,1.04,9.0,2.8,1.8,6.0,False
4209,1.166,4.5,1.4,1.0,3.8,False
4210,1.02,11.0,4.0,2.2,4.0,True
4211,1.02,11.0,2.6,3.2,6.333333333333333,True
4212,1.3,3.4,2.8,1.2,4.0,True
4213,1.25,3.75,2.6,1.8,3.6666666666666665,True
4214,1.533,2.375,2.0,1.4,5.0,True
4215,1.333,3.25,2.0,2.6,4.0,True
4216,1.111,6.0,3.0,2.0,5.0,True
4217,1.75,2.05,1.4,1.2,3.3333333333333335,True
4218,1.285,3.5,2.8,1.4,3.857142857142857,True
4219,1.005,17.0,2.6,2.8,9.333333333333334,True
4220,1.062,8.0,2.4,2.6,4.0,True
4221,1.333,3.25,1.4,1.4,4.714285714285714,False
4222,1.333,3.25,2.8,1.2,3.0,True
4223,1.04,9.0,2.6,2.6,5.666666666666667,True
4224,1.1,6.5,4.0,3.2,4.333333333333333,True
4225,1.222,4.0,1.2,1.4,3.0,True
4226,1.111,6.0,4.0,2.6,5.5,True
4227,1.062,8.0,2.4,3.2,7.0,True
4228,1.6,2.3,1.2,1.2,3.5,False
4230,1.111,6.0,2.2,3.0,3.0,True
4231,1.125,5.5,2.0,2.8,2.6666666666666665,True
4232,1.8,2.0,2.0,1.2,2.6666666666666665,False
4233,2.0,1.8,2.0,1.2,2.5,True
4234,1.285,3.5,2.4,1.8,3.6666666666666665,True
4235,1.002,19.0,2.4,3.6,7.666666666666667,True
4237,1.363,3.0,2.4,1.2,4.666666666666667,True
4238,1.285,3.5,1.2,1.8,3.0,True
4239,1.02,11.0,4.0,3.6,9.5,True
4240,1.071,7.5,2.2,2.2,4.5,True
4241,1.083,7.0,2.0,2.8,4.5,True
4242,1.025,10.5,2.0,3.6,6.5,True
4243,1.04,9.0,2.4,2.8,4.0,True
4244,1.04,9.0,2.6,3.0,5.666666666666667,True
4245,1.6,2.3,2.8,1.2,3.0,True
4246,1.04,9.0,2.2,3.6,7.0,True
4248,1.125,5.5,1.4,1.8,3.5,True
4249,1.04,9.0,2.2,3.4,6.666666666666667,True
4250,1.3,3.4,2.2,1.8,4.666666666666667,True
4251,1.222,4.0,2.4,3.0,4.0,True
4252,1.002,19.0,2.8,3.4,9.666666666666666,True
4253,1.125,5.5,2.2,1.8,4.0,True
4254,1.166,4.5,1.6,1.8,5.5,False
4255,1.005,17.0,2.8,2.8,6.0,True
4256,1.083,7.0,2.2,1.8,4.666666666666667,True
4257,1.166,4.5,1.4,2.4,6.0,True
4258,1.01,15.0,1.4,1.2,5.333333333333333,False
4259,1.111,6.0,2.2,2.2,4.0,False
4260,1.166,4.5,2.2,1.2,4.0,False
4261,1.02,11.0,1.4,3.0,5.666666666666667,True
4262,1.015,12.0,2.8,2.2,7.0,True
4263,1.285,3.5,2.8,1.8,4.0,True
4264,1.25,3.75,2.4,1.2,3.5,True
4266,1.75,2.05,1.2,1.2,3.0,False
4268,1.083,7.0,1.4,2.6,3.5,True
4269,1.2,4.333,2.2,1.8,3.5,False
4270,1.025,10.5,2.8,2.4,6.5,True
4271,1.03,10.0,2.2,2.8,7.5,True
4272,1.04,9.0,2.2,2.2,7.0,True
4273,1.142,5.0,1.6,2.6,4.0,False
4274,1.005,17.0,2.2,2.4,10.0,True
4277,1.04,9.0,1.6,1.2,6.0,True
4280,1.02,11.0,2.6,1.8,4.5,True
4283,1.05,8.5,2.8,3.4,7.5,True
4284,1.2,4.333,1.8,1.6,4.0,True
4285,1.3,3.4,2.0,1.8,2.5,True
4286,1.3,3.4,1.2,2.0,3.0,True
4288,1.142,5.0,3.8,2.8,3.0,True
4289,1.062,8.0,2.4,2.0,8.0,True
4290,1.125,5.5,2.2,2.6,4.333333333333333,True
4291,1.444,2.625,3.2,2.2,3.3333333333333335,True
4292,1.5,2.5,2.2,2.2,2.6666666666666665,True
4293,1.03,10.0,3.0,2.8,8.0,True
4294,1.166,4.5,2.2,2.8,7.0,True
4295,1.071,7.5,3.0,2.0,4.0,True
4296,1.062,8.0,3.2,2.8,3.5,True
4297,1.142,5.0,3.0,2.2,2.6666666666666665,True
4298,1.111,6.0,3.2,2.4,4.0,True
4299,1.285,3.5,1.6,2.8,1.5,True
4300,1.111,6.0,3.0,2.4,4.5,True
4301,1.222,4.0,1.6,2.0,3.0,True
4302,1.166,4.5,1.6,2.4,2.5,True
4303,1.04,9.0,3.0,2.6,9.5,True
4304,1.333,3.25,1.4,1.6,5.25,True
4305,1.444,2.625,1.0,1.4,2.5,False
4306,1.142,5.0,2.2,2.8,5.0,True
4307,1.083,7.0,2.8,2.2,4.0,True
4308,1.166,4.5,1.2,1.2,6.0,True
4309,1.062,8.0,4.8,2.4,9.0,True
4310,1.05,8.5,3.2,3.0,6.0,True
4313,1.071,7.5,2.2,3.4,5.0,True
4314,1.1,6.5,2.8,2.8,8.0,True
4315,1.083,7.0,1.6,3.6,6.0,True
4316,1.083,7.0,2.2,2.2,4.4,True
4317,1.166,4.5,3.4,1.8,3.25,True
4318,1.363,3.0,1.8,2.2,3.5,True
4319,1.111,6.0,2.0,2.8,6.0,True
4320,1.05,8.5,2.2,2.2,5.75,True
4321,1.363,3.0,1.4,1.8,3.3333333333333335,False
4323,1.2,4.333,1.6,2.6,3.0,False
4324,1.05,8.5,2.2,2.2,4.0,True
4326,1.04,9.0,2.2,2.2,6.0,True
4327,1.363,3.0,1.8,2.2,3.0,True
4328,1.25,3.75,1.8,1.6,5.0,True
4329,1.25,3.75,3.4,1.8,3.0,True
4331,1.05,8.5,2.2,3.6,4.0,True
4334,1.125,5.5,2.0,3.4,3.75,True
4335,1.444,2.625,1.4,1.8,3.2,True
4336,1.25,3.75,3.4,1.8,2.5,True
4338,1.05,8.5,2.8,3.6,6.666666666666667,True
4339,1.363,3.0,2.0,1.8,3.0,False
4340,1.3,3.4,1.4,1.6,6.333333333333333,False
4342,1.002,19.0,2.6,2.2,8.5,True
4343,1.05,8.5,2.8,1.8,3.0,True
4344,1.05,8.5,3.8,2.4,6.0,True
4347,1.25,3.75,1.4,1.8,3.25,True
4349,1.222,4.0,1.4,1.6,5.5,True
4350,1.25,3.75,2.2,2.2,5.0,True
4351,1.166,4.5,1.2,2.6,4.0,False
4352,1.083,7.0,3.8,2.6,7.5,True
4353,1.3,3.4,2.6,2.2,2.0,True
4354,1.062,8.0,1.4,1.8,4.0,True
4355,1.083,7.0,3.4,2.6,3.0,True
4356,1.2,4.333,2.6,1.4,4.0,True
4357,1.3,3.4,2.6,2.2,4.666666666666667,True
4358,1.4,2.75,2.0,2.0,2.6666666666666665,True
4359,1.25,3.75,2.0,1.0,2.5,False
4360,1.05,8.5,2.4,4.2,6.8,True
4361,1.111,6.0,1.2,2.0,5.6,True
4362,1.25,3.75,2.2,2.2,5.333333333333333,True
4363,1.083,7.0,2.8,1.8,7.0,True
4365,1.062,8.0,2.2,2.6,6.0,True
4366,1.285,3.5,2.6,2.2,2.0,False
4367,1.05,8.5,2.2,1.8,3.0,False
4368,1.071,7.5,2.4,2.6,7.2,True
4369,1.062,8.0,3.4,2.6,5.0,True
4370,1.25,3.75,2.2,2.2,5.0,True
4372,1.05,8.5,3.4,1.8,5.0,True
4373,1.2,4.333,2.6,1.4,4.0,True
4374,1.25,3.75,2.6,2.2,5.2,False
4375,1.083,7.0,2.2,2.4,2.75,True
4376,1.363,3.0,1.8,1.8,2.6666666666666665,True
4377,1.062,8.0,3.4,2.6,8.333333333333334,True
4378,1.083,7.0,2.2,2.6,6.0,True
4380,1.071,7.5,3.0,2.6,1.0,True
4381,1.05,8.5,3.2,3.2,6.0,True
4383,1.083,7.0,0.8,2.6,6.0,True
4385,1.25,3.75,2.6,2.2,4.5,True
4388,1.363,3.0,1.8,1.8,3.0,False
4389,1.25,3.75,2.6,1.4,3.6666666666666665,True
4390,1.142,5.0,2.2,2.6,3.857142857142857,True
4391,1.062,8.0,1.2,2.6,8.0,True
4392,1.062,8.0,3.4,2.0,6.0,True
4393,1.222,4.0,3.0,2.0,4.2,True
4394,1.062,8.0,1.8,3.2,2.6666666666666665,True
4395,1.071,7.5,2.4,3.6,5.0,True
4396,1.25,3.75,2.6,1.4,3.5,True
4397,1.05,8.5,2.8,1.8,6.5,True
4398,1.1,6.5,2.4,1.8,5.6,True
4399,1.04,9.0,1.8,2.8,4.0,True
4400,1.062,8.0,1.2,2.0,7.5,True
4403,1.083,7.0,3.0,2.6,5.666666666666667,True
4404,1.1,6.5,3.0,2.0,3.3333333333333335,False
4405,1.062,8.0,2.4,2.6,8.666666666666666,True
4406,1.1,6.5,2.8,3.2,4.0,True
4407,1.111,6.0,3.0,2.0,4.166666666666667,False
4409,1.062,8.0,0.8,2.8,8.0,False
4410,1.1,6.5,2.8,1.8,4.0,True
4412,1.142,5.0,3.0,2.6,3.75,True
4413,1.071,7.5,0.8,1.8,4.0,False
4414,1.083,7.0,2.2,1.2,5.0,True
4416,1.04,9.0,2.4,2.6,4.0,True
4417,1.062,8.0,2.8,3.6,5.666666666666667,True
4419,1.05,8.5,3.0,3.6,10.0,True
4420,1.071,7.5,2.8,2.6,5.0,True
4421,1.062,8.0,2.2,2.8,6.0,True
4423,1.071,7.5,2.4,1.8,5.0,False
4424,1.083,7.0,1.2,2.6,6.5,True
4425,1.111,6.0,2.2,2.0,3.5,True
4426,1.062,8.0,2.8,2.8,8.5,True
4429,1.062,8.0,1.8,2.6,5.0,False
4432,1.04,9.0,3.0,2.2,3.0,True
4435,1.071,7.5,4.0,3.0,6.666666666666667,True
4438,1.111,6.0,3.0,2.8,5.5,True
4439,1.04,9.0,2.8,3.2,8.0,True
4441,1.071,7.5,2.2,2.8,7.8,True
4444,1.05,8.5,4.0,3.8,4.666666666666667,True
4445,1.111,6.0,3.0,2.2,6.333333333333333,True
4446,1.062,8.0,2.6,2.8,6.666666666666667,True
4448,1.111,6.0,1.6,2.2,5.5,True
4449,1.083,7.0,3.2,3.8,5.0,True
4450,1.062,8.0,2.4,2.2,8.0,False
4454,1.05,8.5,2.4,3.4,7.0,True
4456,1.062,8.0,2.8,3.2,5.333333333333333,True
4457,1.111,6.0,2.4,1.8,4.0,True
4458,1.05,8.5,2.4,3.2,7.0,True
4459,1.04,9.0,2.6,3.8,9.5,True
4460,1.062,8.0,1.6,3.6,6.0,True
4462,1.062,8.0,2.8,2.6,5.5,True
4465,1.071,7.5,2.4,2.6,7.0,False
4467,1.083,7.0,1.6,2.8,4.0,True
4472,1.142,5.0,3.0,2.4,3.25,True
4473,1.142,5.0,3.2,3.6,3.8,True
4474,1.111,6.0,3.0,3.6,4.333333333333333,True
4475,1.05,8.5,3.0,4.8,6.0,True
4478,1.04,9.0,2.8,2.8,6.0,True
4479,1.05,8.5,1.8,2.8,4.0,True
4483,1.062,8.0,3.0,2.8,7.0,True
4484,1.062,8.0,2.8,3.2,6.0,True
4493,1.142,5.0,2.4,2.6,4.4,True
4494,1.062,8.0,3.2,4.8,3.5,True
4495,1.05,8.5,3.6,2.8,11.0,True
4496,1.04,9.0,2.8,3.4,12.0,True
4497,1.04,9.0,4.2,2.4,6.0,True
4500,1.111,6.0,3.0,4.4,7.5,True
4501,1.062,8.0,4.2,2.8,7.0,True
4503,1.062,8.0,2.2,2.4,4.5,True
4504,1.083,7.0,3.6,2.8,6.0,True
4505,1.04,9.0,3.0,3.2,6.5,True
4507,1.071,7.5,2.8,2.8,4.0,True
4508,1.111,6.0,2.0,2.0,2.5714285714285716,True
4510,1.062,8.0,2.8,2.8,5.75,False
4511,1.333,3.25,1.6,1.4,1.3333333333333333,True
4512,1.111,6.0,4.0,1.8,4.8,True
4513,1.05,8.5,2.2,3.2,3.0,True
4514,1.062,8.0,3.4,2.8,2.0,True
4516,1.062,8.0,2.4,1.8,4.0,True
4517,1.111,6.0,2.0,2.0,3.75,True
4518,1.04,9.0,3.6,3.2,7.333333333333333,True
4519,1.05,8.5,3.4,2.4,7.0,True
4520,1.1,6.5,2.8,2.6,4.5,True
4521,1.062,8.0,3.6,2.0,5.666666666666667,True
4522,1.062,8.0,3.4,2.6,6.0,True
4523,1.062,8.0,4.0,2.8,7.333333333333333,True
4524,1.083,7.0,2.4,2.75,3.3333333333333335,True
4525,1.111,6.0,2.0,2.8,3.6666666666666665,True
4526,1.071,7.5,3.6,3.0,4.0,True
4527,1.04,9.0,2.4,2.4,5.333333333333333,True
4528,1.062,8.0,3.4,3.2,5.0,True
4529,1.2,4.333,2.4,2.4,5.4,True
4530,1.062,8.0,3.4,3.2,6.333333333333333,True
4532,1.062,8.0,3.0,2.4,6.0,True
4533,1.062,8.0,4.0,2.4,7.5,True
4535,1.083,7.0,2.0,2.75,5.0,True
4536,1.071,7.5,3.6,2.8,6.5,True
4537,1.071,7.5,2.8,2.8,4.0,True
4538,1.04,9.0,4.0,2.6,6.5,True
4540,1.1,6.5,2.0,2.75,4.666666666666667,True
4541,1.062,8.0,2.4,3.4,6.0,True
4542,1.05,8.5,3.6,2.4,5.0,True
4544,1.083,7.0,2.8,2.0,3.5,True
4545,1.125,5.5,2.0,2.6,4.0,True
4547,1.125,5.5,2.4,2.8,2.0,True
